$Lewiston qdt year 2016 YC 06/21/22 upd.,
19.833,1.557011433
19.875,17.142779400
19.917,0.738114100
19.958,5.887963767
20.000,6.664882067
20.042,1.844908767
20.083,5.572606767
20.125,2.064011433
20.167,3.674709433
20.208,4.697011433
20.250,7.028606767
20.292,2.639709433
20.333,1.635812100
20.375,6.117908767
20.417,1.618114100
20.458,4.063709433
20.500,6.410908767
20.542,3.301011433
20.583,2.112087400
20.625,1.411169100
20.667,6.741908767
20.708,3.239984733
20.750,4.220066433
20.792,0.899114100
20.833,5.097984733
20.875,4.584066433
20.917,0.157087400
20.958,5.178011433
21.000,4.616298433
21.042,0.929435400
21.083,3.640243433
21.125,-0.419537900
21.167,4.733243433
21.208,2.125462100
21.250,3.838243433
21.292,4.895243433
21.333,0.707462100
21.375,5.034243433
21.417,0.359462100
21.458,-0.762594500
21.500,2.642462100
21.542,5.948462100
21.583,3.383243433
21.625,4.246243433
21.667,-1.348319233
21.708,0.443462100
21.750,38.011963430
21.792,-33.235319900
21.833,5.225243433
21.875,6.435243433
21.917,5.033243433
21.958,-0.160319233
22.000,3.163243433
22.042,3.383243433
22.083,1.023680767
22.125,10.763024770
22.167,8.758806100
22.208,-5.611319233
22.250,-7.110345933
22.292,8.036024767
22.333,4.191243433
22.375,-0.460045567
22.417,6.361998067
22.458,16.021332100
22.500,3.450919633
22.542,-15.533568570
22.583,10.683615300
22.625,0.914435400
22.667,-9.129537900
22.708,31.789484070
22.750,4.388316800
22.792,3.927118900
22.833,5.497873033
22.875,-1.951755167
22.917,-20.816809970
22.958,5.823513767
23.000,-4.082319233
23.042,0.738024767
23.083,1.049462100
23.125,5.117024767
23.167,0.465680767
23.208,4.071462100
23.250,4.687462100
23.292,3.519806100
23.333,0.861462100
23.375,3.383243433
23.417,-1.660319233
23.458,1.739462100
23.500,5.544024767
23.542,1.973462100
23.583,4.705243433
23.625,1.926462100
23.667,3.456462100
23.708,8.242216733
23.750,-5.056701567
23.792,18.282895670
23.833,1.803918330
23.875,5.715067700
23.917,-16.098160300
23.958,5.392024970
24.000,-2.491537900
24.042,-4.552564600
24.083,4.033243433
24.125,2.305517100
24.167,4.962435400
24.208,1.255462100
24.250,3.974243433
24.292,2.682243433
24.333,1.666462100
24.375,2.419462100
24.417,4.499243433
24.458,2.974462100
24.500,1.034462100
24.542,4.223243433
24.583,14.261325230
24.625,-1.543178100
24.667,9.786033170
24.708,6.297927600
24.750,12.216942370
24.792,-6.485224700
24.833,-4.319410467
24.875,-2.843156667
24.917,0.422427100
24.958,4.214433033
25.000,-13.426909100
25.042,7.241743567
25.083,1.903216733
25.125,-3.961264233
25.167,0.951216733
25.208,2.868462100
25.250,25.823915730
25.292,11.605400130
25.333,4.054321667
25.375,-5.221559700
25.417,-1.621856500
25.458,1.595074333
25.500,-34.117955670
25.542,10.018839600
25.583,2.683011433
25.625,-5.670783233
25.667,-2.215885900
25.708,3.117114100
25.750,7.995908767
25.792,3.586114100
25.833,0.613812100
25.875,0.425114100
25.917,0.759114100
25.958,5.293011433
26.000,1.233114100
26.042,1.294114100
26.083,4.841011433
26.125,0.733114100
26.167,1.156114100
26.208,4.363011433
26.250,2.627087400
26.292,2.703169100
26.333,1.616011433
26.375,1.534435400
26.417,1.998517100
26.458,1.582462100
26.500,2.407435400
26.542,0.885517100
26.583,23.005644630
26.625,2.970798000
26.667,1.076980200
26.708,6.633797333
26.750,0.377750400
26.792,-3.641917033
26.833,-3.685555033
26.875,2.755081533
26.917,-32.871132970
26.958,5.450875670
27.000,4.369011433
27.042,-2.067885900
27.083,-3.559783233
27.125,-2.846885900
27.167,9.140011433
27.208,1.045216767
27.250,2.861011433
27.292,1.837114100
27.333,0.131114100
27.375,3.764011433
27.417,-1.585783233
27.458,3.653114100
27.500,4.237011433
27.542,1.250114100
27.583,1.335114100
27.625,3.881011433
27.667,-2.095783233
27.708,23.913607400
27.750,3.982310367
27.792,5.366249767
27.833,1.992332533
27.875,-29.445405530
27.917,6.752125370
27.958,-3.656988567
28.000,-4.954783233
28.042,-2.390912600
28.083,1.735066433
28.125,4.667216767
28.167,2.039114100
28.208,5.057011433
28.250,0.978087400
28.292,0.397169100
28.333,4.168011433
28.375,3.839984733
28.417,3.718066433
28.458,4.627984733
28.500,3.653009833
28.542,1.459144000
28.583,-2.556546667
28.625,6.559832333
28.667,0.433554533
28.708,28.427361100
28.750,6.580140067
28.792,-34.149785730
28.833,16.533954230
28.875,2.604280567
28.917,-5.479946300
28.958,-3.197935200
29.000,7.061960133
29.042,4.813639833
29.083,9.881806100
29.125,5.518908767
29.167,10.823806100
29.208,1.025114100
29.250,14.299600770
29.292,13.732600770
29.333,6.056908767
29.375,18.129090630
29.417,24.074990300
29.458,-7.530303100
29.500,10.736617870
29.542,16.837851270
29.583,11.521009730
29.625,21.071336630
29.667,42.668898070
29.708,-19.510213770
29.750,24.029707370
29.792,24.124352770
29.833,-19.009534100
29.875,2.271269167
29.917,15.138703430
29.958,6.099806100
30.000,-3.597045167
30.042,15.996862700
30.083,14.629779400
30.125,3.453009833
30.167,4.672862700
30.208,8.452779400
30.250,-1.504988567
30.292,8.125907167
30.333,7.530041333
30.375,9.968806100
30.417,4.256009833
30.458,10.720938670
30.500,-1.289988567
30.542,5.874009833
30.583,1.443041333
30.625,6.006908767
30.667,0.049009833
30.708,32.382730600
30.750,4.420661430
30.792,9.163554900
30.833,-23.461595800
30.875,13.227567530
30.917,-5.028988567
30.958,-6.616885900
31.000,0.988011433
31.042,4.447011433
31.083,5.205011433
31.125,6.799011433
31.167,4.229011433
31.208,2.251011433
31.250,3.170984733
31.292,2.910066433
31.333,2.884087400
31.375,5.808011433
31.417,3.351011433
31.458,-1.025885900
31.500,1.383011433
31.542,3.791806100
31.583,-2.866885900
31.625,9.222011433
31.667,7.605114100
31.708,-1.350783233
31.750,30.710124300
31.792,7.306831700
31.833,-13.305753770
31.875,0.242088367
31.917,-19.073892500
31.958,10.908213430
32.000,6.627908767
32.042,-3.226885900
32.083,0.595011433
32.125,-1.515885900
32.167,3.971114100
32.208,6.748011433
32.250,5.877011433
32.292,-1.866783233
32.333,3.351011433
32.375,3.655011433
32.417,1.349114100
32.458,3.557011433
32.500,0.927114100
32.542,1.359114100
32.583,3.904011433
32.625,1.445114100
32.667,2.009925300
32.708,22.340851130
32.750,3.546338700
32.792,4.371111667
32.833,2.363583600
32.875,-22.120878930
32.917,3.180707170
32.958,-0.658885900
33.000,2.739882067
33.042,-11.968625570
33.083,5.264984733
33.125,5.725066433
33.167,6.202984733
33.208,0.148114100
33.250,4.563066433
33.292,1.691087400
33.333,4.444011433
33.375,0.548169100
33.417,1.512087400
33.458,1.287169100
33.500,4.156984733
33.542,1.762114100
33.583,2.027114100
33.625,1.952114100
33.667,3.420011433
33.708,12.534632000
33.750,14.608427470
33.792,12.141630170
33.833,-0.112052167
33.875,-10.665545370
33.917,-29.019600200
33.958,4.621829470
34.000,5.571908767
34.042,-5.228783233
34.083,-1.506885900
34.125,0.282114100
34.167,2.985114100
34.208,4.947011433
34.250,3.215114100
34.292,0.219114100
34.333,2.338087400
34.375,2.546114100
34.417,-0.029830900
34.458,5.029984733
34.500,1.832169100
34.542,1.208087400
34.583,1.764114100
34.625,4.439011433
34.667,0.788114100
34.708,21.958086000
34.750,5.315564100
34.792,-21.290451800
34.833,6.579999700
34.875,3.777011433
34.917,-8.840680567
34.958,-2.783885900
35.000,0.885114100
35.042,8.687011433
35.083,1.239114100
35.125,2.613114100
35.167,1.403114100
35.208,1.032114100
35.250,0.772114100
35.292,4.047011433
35.333,-0.158783233
35.375,2.153114100
35.417,1.733114100
35.458,3.597652833
35.500,-1.065951533
35.542,5.244243433
35.583,0.681462100
35.625,1.510462100
35.667,-1.000537900
35.708,23.211941900
35.750,7.082424767
35.792,14.021603430
35.833,-27.633091530
35.875,3.984476370
35.917,2.051011433
35.958,-16.557783230
36.000,-7.072783233
36.042,6.833984733
36.083,4.685169100
36.125,6.489011433
36.167,-2.784809933
36.208,4.007825433
36.250,0.919462100
36.292,0.172462100
36.333,2.934215100
36.375,-0.157345933
36.417,2.859462100
36.458,1.447517100
36.500,0.914435400
36.542,1.974462100
36.583,2.065462100
36.625,3.800243433
36.667,-1.610319233
36.708,24.995879730
36.750,2.478918400
36.792,6.223022733
36.833,5.813361233
36.875,-36.422903930
36.917,4.113696900
36.958,0.288216767
37.000,-6.151885900
37.042,-9.546783233
37.083,4.939114100
37.125,9.361011433
37.167,-2.194783233
37.208,5.133011433
37.250,1.208230100
37.292,2.462462100
37.333,2.346462100
37.375,1.399462100
37.417,-1.910319233
37.458,4.302243433
37.500,-0.708319233
37.542,5.247243433
37.583,1.662462100
37.625,0.181462100
37.667,1.459462100
37.708,13.583542900
37.750,10.867524670
37.792,10.588145230
37.833,-5.380929330
37.875,-4.567442000
37.917,-26.804800300
37.958,2.315462067
38.000,3.997169100
38.042,-1.387693933
38.083,-0.028537900
38.125,1.570517100
38.167,3.204435400
38.208,4.058462100
38.250,0.364462100
38.292,0.364462100
38.333,1.608462100
38.375,2.396462100
38.417,1.923462100
38.458,-2.445319233
38.500,1.507462100
38.542,2.378462100
38.583,6.469243433
38.625,-2.633319233
38.667,15.874599600
38.708,9.974736200
38.750,2.859174400
38.792,7.007238133
38.833,-38.572207930
38.875,13.655863200
38.917,-3.239537900
38.958,-10.099100570
39.000,-8.507756567
39.042,3.396462100
39.083,16.202462100
39.125,-1.610319233
39.167,-2.395319233
39.208,5.321024767
39.250,5.897462100
39.292,-1.610319233
39.333,5.131680767
39.375,2.216243433
39.417,0.589462100
39.458,4.000243433
39.500,-3.158319233
39.542,3.868216733
39.583,-1.771264233
39.625,25.238680730
39.667,3.683940767
39.708,3.704045467
39.750,-0.847460133
39.792,-1.593294333
39.833,-31.894261170
39.875,9.778617800
39.917,2.927462100
39.958,-10.740349730
40.000,-1.232564600
40.042,4.804215100
40.083,6.249171200
40.125,1.392424300
40.167,-1.376838333
40.208,1.148462100
40.250,3.181462100
40.292,1.384160100
40.333,1.584462100
40.375,2.088462100
40.417,1.669462100
40.458,1.522462100
40.500,0.751462100
40.542,2.330160100
40.583,2.585462100
40.625,0.877462100
40.667,31.172838100
40.708,31.768400770
40.750,33.655400770
40.792,37.456182100
40.833,35.164400770
40.875,6.729024767
40.917,8.241806100
40.958,-0.677319233
41.000,-1.610319233
41.042,-1.474319233
41.083,6.469243433
41.125,4.363243433
41.167,-1.289319233
41.208,-1.712319233
41.250,4.716243433
41.292,2.339462100
41.333,1.379435400
41.375,-0.412264233
41.417,0.607435400
41.458,4.209298433
41.500,-1.190319233
41.542,2.883462100
41.583,2.324462100
41.625,-0.600564600
41.667,37.570237100
41.708,42.814526100
41.750,45.914280730
41.792,43.897581100
41.833,44.694007400
41.875,45.514163430
41.917,8.105806100
41.958,6.818908767
42.000,2.314114100
42.042,-1.399783233
42.083,-0.491783233
42.125,4.186011433
42.167,0.688114100
42.208,1.023114100
42.250,0.789114100
42.292,23.053511770
42.333,16.231817470
42.375,-28.724959430
42.417,7.737498770
42.458,-7.944885900
42.500,-8.035783233
42.542,-2.550885900
42.583,-0.466885900
42.625,4.378114100
42.667,4.922087400
42.708,-2.239830900
42.750,19.461298500
42.792,17.859999800
42.833,-25.770560530
42.875,9.629334400
42.917,-13.053885900
42.958,-9.116728233
43.000,-3.780809933
43.042,2.875114100
43.083,0.930169100
43.125,5.084087400
43.167,2.273114100
43.208,-2.079783233
43.250,1.217066433
43.292,26.587576600
43.333,-1.296158070
43.375,-31.351915030
43.417,11.889197900
43.458,-12.858759300
43.500,0.133406000
43.542,1.568476400
43.583,-0.178858800
43.625,5.024421167
43.667,7.433842533
43.708,20.418023700
43.750,6.374628600
43.792,11.543603370
43.833,-28.198602870
43.875,3.983571270
43.917,-4.519885900
43.958,-10.324667230
44.000,26.040220070
44.042,1.143745000
44.083,5.509931600
44.125,-2.057698600
44.167,-0.284257700
44.208,-2.651330500
44.250,-1.723262633
44.292,-35.773764670
44.333,5.703127170
44.375,1.807983833
44.417,-3.429636533
44.458,-6.383664433
44.500,5.914069333
44.542,5.046344000
44.583,7.529734733
44.625,1.159897267
44.667,0.575428800
44.708,24.166589930
44.750,1.010604700
44.792,8.544524700
44.833,6.645753767
44.875,4.497098500
44.917,-1.704658367
44.958,-1.136366733
45.000,-2.000317100
45.042,2.279254033
45.083,-5.880606033
45.125,-2.246824500
45.167,0.574530633
45.208,-0.269577100
45.250,-3.914520467
45.292,-35.083223270
45.333,4.180452070
45.375,2.913644433
45.417,-1.903083433
45.458,-0.300025900
45.500,-2.048302533
45.542,11.483620570
45.583,0.195213467
45.625,7.328656067
45.667,7.438534500
45.708,15.433298070
45.750,10.870716330
45.792,-2.345737400
45.833,-0.260848167
45.875,-1.316176167
45.917,-4.784417867
45.958,-6.893387933
46.000,-13.222031100
46.042,-0.795272200
46.083,3.118984733
46.125,-3.844885900
46.167,-3.698783233
46.208,1.215114100
46.250,2.742114100
46.292,1.700114100
46.333,3.310114100
46.375,-1.543783233
46.417,1.432114100
46.458,1.731114100
46.500,0.211114100
46.542,1.995114100
46.583,-0.634783233
46.625,2.264114100
46.667,2.364114100
46.708,-0.301885900
46.750,19.489916400
46.792,3.362255970
46.833,1.168921533
46.875,1.521496700
46.917,-32.710016370
46.958,9.132669170
47.000,0.058011433
47.042,0.631114100
47.083,-8.505680567
47.125,1.761114100
47.167,-2.662809933
47.208,8.697963767
47.250,1.485114100
47.292,-0.036809933
47.333,-1.084728233
47.375,2.133114100
47.417,2.133087400
47.458,1.151169100
47.500,1.717087400
47.542,-2.063680567
47.583,-6.954589770
47.625,2.119252933
47.667,-1.930991933
47.708,19.464911530
47.750,15.033306170
47.792,15.970348630
47.833,4.105860933
47.875,-30.864593470
47.917,-3.111405430
47.958,-2.236988567
48.000,-2.397783233
48.042,-2.916885900
48.083,-1.526783233
48.125,6.709114100
48.167,5.457011433
48.208,0.892216767
48.250,-8.413562600
48.292,-1.561589467
48.333,6.846453430
48.375,9.734765000
48.417,3.433243433
48.458,2.308680767
48.500,4.114462100
48.542,-0.969100567
48.583,6.913243433
48.625,-0.412537900
48.667,-6.933319233
48.708,-2.232515300
48.750,-3.022838933
48.792,6.236344400
48.833,17.657947100
48.875,18.418596000
48.917,-21.317684930
48.958,5.380522800
49.000,3.450837170
49.042,-11.026319670
49.083,-1.320536733
49.125,-0.574944167
49.167,5.247244600
49.208,1.925243000
49.250,-1.712725500
49.292,4.998024333
49.333,1.524493167
49.375,-1.562536733
49.417,4.111024333
49.458,-0.470506833
49.500,3.778025933
49.542,0.673463267
49.583,-1.602536733
49.625,4.046025933
49.667,0.510244600
49.708,14.496869570
49.750,8.758245500
49.792,-0.371615700
49.833,4.197709900
49.875,-25.447582170
49.917,2.468674867
49.958,-1.075536733
50.000,-3.389536733
50.042,-6.138755400
50.083,7.937025933
50.125,4.476463267
50.167,-1.072755400
50.208,4.029025933
50.250,1.192463267
50.292,10.030463267
50.333,-8.905536733
50.375,1.008807267
50.417,5.451807267
50.458,16.391409530
50.500,10.674331500
50.542,3.355412000
50.583,5.501364733
50.625,-4.390245467
50.667,-34.605207600
50.708,-0.303374400
50.750,1.247823833
50.792,-4.405899667
50.833,-6.514000733
50.875,6.571823833
50.917,1.804895000
50.958,3.666896600
51.000,1.180274500
51.042,1.518243000
51.083,0.788274500
51.125,2.701244600
51.167,-1.344538333
51.208,1.099274500
51.250,2.496243000
51.292,2.545274500
51.333,0.930244600
51.375,1.529244600
51.417,-0.258536733
51.458,0.040244600
51.500,3.887025933
51.542,0.964463267
51.583,2.219244600
51.625,-0.232755400
51.667,16.185174970
51.708,8.687916400
51.750,1.254965200
51.792,-2.518409233
51.833,5.848765800
51.875,-29.272273900
51.917,2.907678470
51.958,-2.676000733
52.000,-3.844000733
52.042,-6.640103400
52.083,7.213896600
52.125,1.955896600
52.167,3.527012600
52.208,-1.107536733
52.250,1.430244600
52.292,4.788025933
52.333,-1.619536733
52.375,2.073244600
52.417,-1.841536733
52.458,4.838025933
52.500,0.283463267
52.542,0.723274500
52.583,1.404243000
52.625,-1.602536733
52.667,15.459104000
52.708,7.496244967
52.750,5.581995767
52.792,6.285990867
52.833,-32.937215670
52.875,8.648717167
52.917,-3.065176167
52.958,-9.093318067
53.000,-6.216538333
53.042,9.990055833
53.083,3.540244600
53.125,1.708244600
53.167,2.100244600
53.208,-1.720536733
53.250,2.799244600
53.292,1.133244600
53.333,2.179244600
53.375,-0.790536733
53.417,2.156244600
53.458,-1.555536733
53.500,4.724025933
53.542,-1.504536733
53.583,3.399244600
53.625,3.117244600
53.667,-1.417755400
53.708,15.547603270
53.750,7.449682270
53.792,0.747772500
53.833,3.583428000
53.875,2.958171900
53.917,-34.032816630
53.958,2.244758267
54.000,2.330896600
54.042,-7.386898067
54.083,-3.030871400
54.125,3.471025933
54.167,5.989244600
54.208,-0.370536733
54.250,1.037544600
54.292,2.612244600
54.333,-0.114755400
54.375,0.850463267
54.417,2.278274500
54.458,1.785243000
54.500,1.336544600
54.542,1.778274500
54.583,-1.578538333
54.625,16.058893800
54.667,4.460351233
54.708,-5.564604430
54.750,-6.722562170
54.792,14.676039630
54.833,2.258946070
54.875,4.284950900
54.917,-8.192487870
54.958,-18.202290800
55.000,7.486070167
55.042,-7.970103400
55.083,-7.216898067
55.125,-1.569103400
55.167,3.969896600
55.208,1.235896600
55.250,15.873698170
55.292,20.603991670
55.333,-10.535485830
55.375,-10.243181770
55.417,-4.457977267
55.458,-3.758180467
55.500,-7.045600800
55.542,-1.019930367
55.583,-20.651149400
55.625,1.505451833
55.667,10.500767430
55.708,1.860796467
55.750,-8.455537467
55.792,-0.522299900
55.833,1.625456500
55.875,2.305122367
55.917,3.217494700
55.958,-2.113661133
56.000,1.605257200
56.042,0.721494700
56.083,-0.902877633
56.125,3.672711200
56.167,0.215359867
56.208,1.310019700
56.250,1.716842700
56.292,2.289367700
56.333,-1.851938633
56.375,1.558605200
56.417,0.150586367
56.458,2.238842700
56.500,3.729605200
56.542,-0.485176133
56.583,0.025605200
56.625,15.582319670
56.667,15.328426530
56.708,-29.841547170
56.750,2.132123867
56.792,1.435811733
56.833,26.173531400
56.875,-30.907200200
56.917,5.888707770
56.958,0.200359867
57.000,-7.754189467
57.042,-2.514433000
57.083,2.450605200
57.125,4.318605200
57.167,1.447823867
57.208,2.116605200
57.250,-1.558176133
