$Swift Cr flowyear 2019 YC updated 06/01/23,
6.417,3.228090047
6.458,3.228090047
6.5,3.228090047
6.542,3.228090047
6.583,3.228090047
6.625,3.228090047
6.667,3.228090047
6.708,3.228090047
6.75,3.228090047
6.792,3.228090047
6.833,3.228090047
6.875,3.228090047
6.917,3.228090047
6.958,3.228090047
7,1.982160555
7.042,1.982160555
7.083,1.982160555
7.125,1.982160555
7.167,1.982160555
7.208,1.982160555
7.25,1.982160555
7.292,1.982160555
7.333,1.982160555
7.375,1.982160555
7.417,1.982160555
7.458,1.982160555
7.5,1.982160555
7.542,1.982160555
7.583,1.982160555
7.625,1.982160555
7.667,1.982160555
7.708,1.982160555
7.75,1.982160555
7.792,1.982160555
7.833,1.982160555
7.875,1.982160555
7.917,1.982160555
7.958,1.982160555
8,5.012034546
8.042,5.012034546
8.083,5.012034546
8.125,5.012034546
8.167,5.012034546
8.208,5.012034546
8.25,5.012034546
8.292,5.012034546
8.333,5.012034546
8.375,5.012034546
8.417,5.012034546
8.458,5.012034546
8.5,5.012034546
8.542,5.012034546
8.583,5.012034546
8.625,5.012034546
8.667,5.012034546
8.708,5.012034546
8.75,5.012034546
8.792,5.012034546
8.833,5.012034546
8.875,5.012034546
8.917,5.012034546
8.958,5.012034546
9,13.87512389
9.042,13.87512389
9.083,13.87512389
9.125,13.87512389
9.167,13.87512389
9.208,13.87512389
9.25,13.87512389
9.292,13.87512389
9.333,13.87512389
9.375,13.87512389
9.417,13.87512389
9.458,13.87512389
9.5,13.87512389
9.542,13.87512389
9.583,13.87512389
9.625,13.87512389
9.667,13.87512389
9.708,13.87512389
9.75,13.87512389
9.792,13.87512389
9.833,13.87512389
9.875,13.87512389
9.917,13.87512389
9.958,13.87512389
10,8.80645618
10.042,8.80645618
10.083,8.80645618
10.125,8.80645618
10.167,8.80645618
10.208,8.80645618
10.25,8.80645618
10.292,8.80645618
10.333,8.80645618
10.375,8.80645618
10.417,8.80645618
10.458,8.80645618
10.5,8.80645618
10.542,8.80645618
10.583,8.80645618
10.625,8.80645618
10.667,8.80645618
10.708,8.80645618
10.75,8.80645618
10.792,8.80645618
10.833,8.80645618
10.875,8.80645618
10.917,8.80645618
10.958,8.80645618
11,5.663315871
11.042,5.663315871
11.083,5.663315871
11.125,5.663315871
11.167,5.663315871
11.208,5.663315871
11.25,5.663315871
11.292,5.663315871
11.333,5.663315871
11.375,5.663315871
11.417,5.663315871
11.458,5.663315871
11.5,5.663315871
11.542,5.663315871
11.583,5.663315871
11.625,5.663315871
11.667,5.663315871
11.708,5.663315871
11.75,5.663315871
11.792,5.663315871
11.833,5.663315871
11.875,5.663315871
11.917,5.663315871
11.958,5.663315871
12,4.360753221
12.042,4.360753221
12.083,4.360753221
12.125,4.360753221
12.167,4.360753221
12.208,4.360753221
12.25,4.360753221
12.292,4.360753221
12.333,4.360753221
12.375,4.360753221
12.417,4.360753221
12.458,4.360753221
12.5,4.360753221
12.542,4.360753221
12.583,4.360753221
12.625,4.360753221
12.667,4.360753221
12.708,4.360753221
12.75,4.360753221
12.792,4.360753221
12.833,4.360753221
12.875,4.360753221
12.917,4.360753221
12.958,4.360753221
13,3.51125584
13.042,3.51125584
13.083,3.51125584
13.125,3.51125584
13.167,3.51125584
13.208,3.51125584
13.25,3.51125584
13.292,3.51125584
13.333,3.51125584
13.375,3.51125584
13.417,3.51125584
13.458,3.51125584
13.5,3.51125584
13.542,3.51125584
13.583,3.51125584
13.625,3.51125584
13.667,3.51125584
13.708,3.51125584
13.75,3.51125584
13.792,3.51125584
13.833,3.51125584
13.875,3.51125584
13.917,3.51125584
13.958,3.51125584
14,3.256406626
14.042,3.256406626
14.083,3.256406626
14.125,3.256406626
14.167,3.256406626
14.208,3.256406626
14.25,3.256406626
14.292,3.256406626
14.333,3.256406626
14.375,3.256406626
14.417,3.256406626
14.458,3.256406626
14.5,3.256406626
14.542,3.256406626
14.583,3.256406626
14.625,3.256406626
14.667,3.256406626
14.708,3.256406626
14.75,3.256406626
14.792,3.256406626
14.833,3.256406626
14.875,3.256406626
14.917,3.256406626
14.958,3.256406626
15,4.587285856
15.042,4.587285856
15.083,4.587285856
15.125,4.587285856
15.167,4.587285856
15.208,4.587285856
15.25,4.587285856
15.292,4.587285856
15.333,4.587285856
15.375,4.587285856
15.417,4.587285856
15.458,4.587285856
15.5,4.587285856
15.542,4.587285856
15.583,4.587285856
15.625,4.587285856
15.667,4.587285856
15.708,4.587285856
15.75,4.587285856
15.792,4.587285856
15.833,4.587285856
15.875,4.587285856
15.917,4.587285856
15.958,4.587285856
16,13.87512389
16.042,13.87512389
16.083,13.87512389
16.125,13.87512389
16.167,13.87512389
16.208,13.87512389
16.25,13.87512389
16.292,13.87512389
16.333,13.87512389
16.375,13.87512389
16.417,13.87512389
16.458,13.87512389
16.5,13.87512389
16.542,13.87512389
16.583,13.87512389
16.625,13.87512389
16.667,13.87512389
16.708,13.87512389
16.75,13.87512389
16.792,13.87512389
16.833,13.87512389
16.875,13.87512389
16.917,13.87512389
16.958,13.87512389
17,21.15248478
17.042,21.15248478
17.083,21.15248478
17.125,21.15248478
17.167,21.15248478
17.208,21.15248478
17.25,21.15248478
17.292,21.15248478
17.333,21.15248478
17.375,21.15248478
17.417,21.15248478
17.458,21.15248478
17.5,21.15248478
17.542,21.15248478
17.583,21.15248478
17.625,21.15248478
17.667,21.15248478
17.708,21.15248478
17.75,21.15248478
17.792,21.15248478
17.833,21.15248478
17.875,21.15248478
17.917,21.15248478
17.958,21.15248478
18,12.60087781
18.042,12.60087781
18.083,12.60087781
18.125,12.60087781
18.167,12.60087781
18.208,12.60087781
18.25,12.60087781
18.292,12.60087781
18.333,12.60087781
18.375,12.60087781
18.417,12.60087781
18.458,12.60087781
18.5,12.60087781
18.542,12.60087781
18.583,12.60087781
18.625,12.60087781
18.667,12.60087781
18.708,12.60087781
18.75,12.60087781
18.792,12.60087781
18.833,12.60087781
18.875,12.60087781
18.917,12.60087781
18.958,12.60087781
19,16.8766813
19.042,16.8766813
19.083,16.8766813
19.125,16.8766813
19.167,16.8766813
19.208,16.8766813
19.25,16.8766813
19.292,16.8766813
19.333,16.8766813
19.375,16.8766813
19.417,16.8766813
19.458,16.8766813
19.5,16.8766813
19.542,16.8766813
19.583,16.8766813
19.625,16.8766813
19.667,16.8766813
19.708,16.8766813
19.75,16.8766813
19.792,16.8766813
19.833,16.8766813
19.875,16.8766813
19.917,16.8766813
19.958,16.8766813
20,23.02137902
20.042,23.02137902
20.083,23.02137902
20.125,23.02137902
20.167,23.02137902
20.208,23.02137902
20.25,23.02137902
20.292,23.02137902
20.333,23.02137902
20.375,23.02137902
20.417,23.02137902
20.458,23.02137902
20.5,23.02137902
20.542,23.02137902
20.583,23.02137902
20.625,23.02137902
20.667,23.02137902
20.708,23.02137902
20.75,23.02137902
20.792,23.02137902
20.833,23.02137902
20.875,23.02137902
20.917,23.02137902
20.958,23.02137902
21,13.45037519
21.042,13.45037519
21.083,13.45037519
21.125,13.45037519
21.167,13.45037519
21.208,13.45037519
21.25,13.45037519
21.292,13.45037519
21.333,13.45037519
21.375,13.45037519
21.417,13.45037519
21.458,13.45037519
21.5,13.45037519
21.542,13.45037519
21.583,13.45037519
21.625,13.45037519
21.667,13.45037519
21.708,13.45037519
21.75,13.45037519
21.792,13.45037519
21.833,13.45037519
21.875,13.45037519
21.917,13.45037519
21.958,13.45037519
22,8.35339091
22.042,8.35339091
22.083,8.35339091
22.125,8.35339091
22.167,8.35339091
22.208,8.35339091
22.25,8.35339091
22.292,8.35339091
22.333,8.35339091
22.375,8.35339091
22.417,8.35339091
22.458,8.35339091
22.5,8.35339091
22.542,8.35339091
22.583,8.35339091
22.625,8.35339091
22.667,8.35339091
22.708,8.35339091
22.75,8.35339091
22.792,8.35339091
22.833,8.35339091
22.875,8.35339091
22.917,8.35339091
22.958,8.35339091
23,6.937561943
23.042,6.937561943
23.083,6.937561943
23.125,6.937561943
23.167,6.937561943
23.208,6.937561943
23.25,6.937561943
23.292,6.937561943
23.333,6.937561943
23.375,6.937561943
23.417,6.937561943
23.458,6.937561943
23.5,6.937561943
23.542,6.937561943
23.583,6.937561943
23.625,6.937561943
23.667,6.937561943
23.708,6.937561943
23.75,6.937561943
23.792,6.937561943
23.833,6.937561943
23.875,6.937561943
23.917,6.937561943
23.958,6.937561943
24,6.257964038
24.042,6.257964038
24.083,6.257964038
24.125,6.257964038
24.167,6.257964038
24.208,6.257964038
24.25,6.257964038
24.292,6.257964038
24.333,6.257964038
24.375,6.257964038
24.417,6.257964038
24.458,6.257964038
24.5,6.257964038
24.542,6.257964038
24.583,6.257964038
24.625,6.257964038
24.667,6.257964038
24.708,6.257964038
24.75,6.257964038
24.792,6.257964038
24.833,6.257964038
24.875,6.257964038
24.917,6.257964038
24.958,6.257964038
25,4.615602435
25.042,4.615602435
25.083,4.615602435
25.125,4.615602435
25.167,4.615602435
25.208,4.615602435
25.25,4.615602435
25.292,4.615602435
25.333,4.615602435
25.375,4.615602435
25.417,4.615602435
25.458,4.615602435
25.5,4.615602435
25.542,4.615602435
25.583,4.615602435
25.625,4.615602435
25.667,4.615602435
25.708,4.615602435
25.75,4.615602435
25.792,4.615602435
25.833,4.615602435
25.875,4.615602435
25.917,4.615602435
25.958,4.615602435
26,4.247486904
26.042,4.247486904
26.083,4.247486904
26.125,4.247486904
26.167,4.247486904
26.208,4.247486904
26.25,4.247486904
26.292,4.247486904
26.333,4.247486904
26.375,4.247486904
26.417,4.247486904
26.458,4.247486904
26.5,4.247486904
26.542,4.247486904
26.583,4.247486904
26.625,4.247486904
26.667,4.247486904
26.708,4.247486904
26.75,4.247486904
26.792,4.247486904
26.833,4.247486904
26.875,4.247486904
26.917,4.247486904
26.958,4.247486904
27,4.757185332
27.042,4.757185332
27.083,4.757185332
27.125,4.757185332
27.167,4.757185332
27.208,4.757185332
27.25,4.757185332
27.292,4.757185332
27.333,4.757185332
27.375,4.757185332
27.417,4.757185332
27.458,4.757185332
27.5,4.757185332
27.542,4.757185332
27.583,4.757185332
27.625,4.757185332
27.667,4.757185332
27.708,4.757185332
27.75,4.757185332
27.792,4.757185332
27.833,4.757185332
27.875,4.757185332
27.917,4.757185332
27.958,4.757185332
28,4.105904007
28.042,4.105904007
28.083,4.105904007
28.125,4.105904007
28.167,4.105904007
28.208,4.105904007
28.25,4.105904007
28.292,4.105904007
28.333,4.105904007
28.375,4.105904007
28.417,4.105904007
28.458,4.105904007
28.5,4.105904007
28.542,4.105904007
28.583,4.105904007
28.625,4.105904007
28.667,4.105904007
28.708,4.105904007
28.75,4.105904007
28.792,4.105904007
28.833,4.105904007
28.875,4.105904007
28.917,4.105904007
28.958,4.105904007
29,4.558969277
29.042,4.558969277
29.083,4.558969277
29.125,4.558969277
29.167,4.558969277
29.208,4.558969277
29.25,4.558969277
29.292,4.558969277
29.333,4.558969277
29.375,4.558969277
29.417,4.558969277
29.458,4.558969277
29.5,4.558969277
29.542,4.558969277
29.583,4.558969277
29.625,4.558969277
29.667,4.558969277
29.708,4.558969277
29.75,4.558969277
29.792,4.558969277
29.833,4.558969277
29.875,4.558969277
29.917,4.558969277
29.958,4.558969277
30,4.474019538
30.042,4.474019538
30.083,4.474019538
30.125,4.474019538
30.167,4.474019538
30.208,4.474019538
30.25,4.474019538
30.292,4.474019538
30.333,4.474019538
30.375,4.474019538
30.417,4.474019538
30.458,4.474019538
30.5,4.474019538
30.542,4.474019538
30.583,4.474019538
30.625,4.474019538
30.667,4.474019538
30.708,4.474019538
30.75,4.474019538
30.792,4.474019538
30.833,4.474019538
30.875,4.474019538
30.917,4.474019538
30.958,4.474019538
31,3.96432111
31.042,3.96432111
31.083,3.96432111
31.125,3.96432111
31.167,3.96432111
31.208,3.96432111
31.25,3.96432111
31.292,3.96432111
31.333,3.96432111
31.375,3.96432111
31.417,3.96432111
31.458,3.96432111
31.5,3.96432111
31.542,3.96432111
31.583,3.96432111
31.625,3.96432111
31.667,3.96432111
31.708,3.96432111
31.75,3.96432111
31.792,3.96432111
31.833,3.96432111
31.875,3.96432111
31.917,3.96432111
31.958,3.96432111
32,6.088064562
32.042,6.088064562
32.083,6.088064562
32.125,6.088064562
32.167,6.088064562
32.208,6.088064562
32.25,6.088064562
32.292,6.088064562
32.333,6.088064562
32.375,6.088064562
32.417,6.088064562
32.458,6.088064562
32.5,6.088064562
32.542,6.088064562
32.583,6.088064562
32.625,6.088064562
32.667,6.088064562
32.708,6.088064562
32.75,6.088064562
32.792,6.088064562
32.833,6.088064562
32.875,6.088064562
32.917,6.088064562
32.958,6.088064562
33,13.33710888
33.042,13.33710888
33.083,13.33710888
33.125,13.33710888
33.167,13.33710888
33.208,13.33710888
33.25,13.33710888
33.292,13.33710888
33.333,13.33710888
33.375,13.33710888
33.417,13.33710888
33.458,13.33710888
33.5,13.33710888
33.542,13.33710888
33.583,13.33710888
33.625,13.33710888
33.667,13.33710888
33.708,13.33710888
33.75,13.33710888
33.792,13.33710888
33.833,13.33710888
33.875,13.33710888
33.917,13.33710888
33.958,13.33710888
34,10.76030016
34.042,10.76030016
34.083,10.76030016
34.125,10.76030016
34.167,10.76030016
34.208,10.76030016
34.25,10.76030016
34.292,10.76030016
34.333,10.76030016
34.375,10.76030016
34.417,10.76030016
34.458,10.76030016
34.5,10.76030016
34.542,10.76030016
34.583,10.76030016
34.625,10.76030016
34.667,10.76030016
34.708,10.76030016
34.75,10.76030016
34.792,10.76030016
34.833,10.76030016
34.875,10.76030016
34.917,10.76030016
34.958,10.76030016
35,8.35339091
35.042,8.35339091
35.083,8.35339091
35.125,8.35339091
35.167,8.35339091
35.208,8.35339091
35.25,8.35339091
35.292,8.35339091
35.333,8.35339091
35.375,8.35339091
35.417,8.35339091
35.458,8.35339091
35.5,8.35339091
35.542,8.35339091
35.583,8.35339091
35.625,8.35339091
35.667,8.35339091
35.708,8.35339091
35.75,8.35339091
35.792,8.35339091
35.833,8.35339091
35.875,8.35339091
35.917,8.35339091
35.958,8.35339091
36,6.739345887
36.042,6.739345887
36.083,6.739345887
36.125,6.739345887
36.167,6.739345887
36.208,6.739345887
36.25,6.739345887
36.292,6.739345887
36.333,6.739345887
36.375,6.739345887
36.417,6.739345887
36.458,6.739345887
36.5,6.739345887
36.542,6.739345887
36.583,6.739345887
36.625,6.739345887
36.667,6.739345887
36.708,6.739345887
36.75,6.739345887
36.792,6.739345887
36.833,6.739345887
36.875,6.739345887
36.917,6.739345887
36.958,6.739345887
37,5.351833499
37.042,5.351833499
37.083,5.351833499
37.125,5.351833499
37.167,5.351833499
37.208,5.351833499
37.25,5.351833499
37.292,5.351833499
37.333,5.351833499
37.375,5.351833499
37.417,5.351833499
37.458,5.351833499
37.5,5.351833499
37.542,5.351833499
37.583,5.351833499
37.625,5.351833499
37.667,5.351833499
37.708,5.351833499
37.75,5.351833499
37.792,5.351833499
37.833,5.351833499
37.875,5.351833499
37.917,5.351833499
37.958,5.351833499
38,4.898768229
38.042,4.898768229
38.083,4.898768229
38.125,4.898768229
38.167,4.898768229
38.208,4.898768229
38.25,4.898768229
38.292,4.898768229
38.333,4.898768229
38.375,4.898768229
38.417,4.898768229
38.458,4.898768229
38.5,4.898768229
38.542,4.898768229
38.583,4.898768229
38.625,4.898768229
38.667,4.898768229
38.708,4.898768229
38.75,4.898768229
38.792,4.898768229
38.833,4.898768229
38.875,4.898768229
38.917,4.898768229
38.958,4.898768229
39,3.879371372
39.042,3.879371372
39.083,3.879371372
39.125,3.879371372
39.167,3.879371372
39.208,3.879371372
39.25,3.879371372
39.292,3.879371372
39.333,3.879371372
39.375,3.879371372
39.417,3.879371372
39.458,3.879371372
39.5,3.879371372
39.542,3.879371372
39.583,3.879371372
39.625,3.879371372
39.667,3.879371372
39.708,3.879371372
39.75,3.879371372
39.792,3.879371372
39.833,3.879371372
39.875,3.879371372
39.917,3.879371372
39.958,3.879371372
40,4.3890698
40.042,4.3890698
40.083,4.3890698
40.125,4.3890698
40.167,4.3890698
40.208,4.3890698
40.25,4.3890698
40.292,4.3890698
40.333,4.3890698
40.375,4.3890698
40.417,4.3890698
40.458,4.3890698
40.5,4.3890698
40.542,4.3890698
40.583,4.3890698
40.625,4.3890698
40.667,4.3890698
40.708,4.3890698
40.75,4.3890698
40.792,4.3890698
40.833,4.3890698
40.875,4.3890698
40.917,4.3890698
40.958,4.3890698
41,3.482939261
41.042,3.482939261
41.083,3.482939261
41.125,3.482939261
41.167,3.482939261
41.208,3.482939261
41.25,3.482939261
41.292,3.482939261
41.333,3.482939261
41.375,3.482939261
41.417,3.482939261
41.458,3.482939261
41.5,3.482939261
41.542,3.482939261
41.583,3.482939261
41.625,3.482939261
41.667,3.482939261
41.708,3.482939261
41.75,3.482939261
41.792,3.482939261
41.833,3.482939261
41.875,3.482939261
41.917,3.482939261
41.958,3.482939261
42,3.199773467
42.042,3.199773467
42.083,3.199773467
42.125,3.199773467
42.167,3.199773467
42.208,3.199773467
42.25,3.199773467
42.292,3.199773467
42.333,3.199773467
42.375,3.199773467
42.417,3.199773467
42.458,3.199773467
42.5,3.199773467
42.542,3.199773467
42.583,3.199773467
42.625,3.199773467
42.667,3.199773467
42.708,3.199773467
42.75,3.199773467
42.792,3.199773467
42.833,3.199773467
42.875,3.199773467
42.917,3.199773467
42.958,3.199773467
43,6.569446411
43.042,6.569446411
43.083,6.569446411
43.125,6.569446411
43.167,6.569446411
43.208,6.569446411
43.25,6.569446411
43.292,6.569446411
43.333,6.569446411
43.375,6.569446411
43.417,6.569446411
43.458,6.569446411
43.5,6.569446411
43.542,6.569446411
43.583,6.569446411
43.625,6.569446411
43.667,6.569446411
43.708,6.569446411
43.75,6.569446411
43.792,6.569446411
43.833,6.569446411
43.875,6.569446411
43.917,6.569446411
43.958,6.569446411
44,8.098541696
44.042,8.098541696
44.083,8.098541696
44.125,8.098541696
44.167,8.098541696
44.208,8.098541696
44.25,8.098541696
44.292,8.098541696
44.333,8.098541696
44.375,8.098541696
44.417,8.098541696
44.458,8.098541696
44.5,8.098541696
44.542,8.098541696
44.583,8.098541696
44.625,8.098541696
44.667,8.098541696
44.708,8.098541696
44.75,8.098541696
44.792,8.098541696
44.833,8.098541696
44.875,8.098541696
44.917,8.098541696
44.958,8.098541696
45,15.82896786
45.042,15.82896786
45.083,15.82896786
45.125,15.82896786
45.167,15.82896786
45.208,15.82896786
45.25,15.82896786
45.292,15.82896786
45.333,15.82896786
45.375,15.82896786
45.417,15.82896786
45.458,15.82896786
45.5,15.82896786
45.542,15.82896786
45.583,15.82896786
45.625,15.82896786
45.667,15.82896786
45.708,15.82896786
45.75,15.82896786
45.792,15.82896786
45.833,15.82896786
45.875,15.82896786
45.917,15.82896786
45.958,15.82896786
46,11.49653122
46.042,11.49653122
46.083,11.49653122
46.125,11.49653122
46.167,11.49653122
46.208,11.49653122
46.25,11.49653122
46.292,11.49653122
46.333,11.49653122
46.375,11.49653122
46.417,11.49653122
46.458,11.49653122
46.5,11.49653122
46.542,11.49653122
46.583,11.49653122
46.625,11.49653122
46.667,11.49653122
46.708,11.49653122
46.75,11.49653122
46.792,11.49653122
46.833,11.49653122
46.875,11.49653122
46.917,11.49653122
46.958,11.49653122
47,7.956958799
47.042,7.956958799
47.083,7.956958799
47.125,7.956958799
47.167,7.956958799
47.208,7.956958799
47.25,7.956958799
47.292,7.956958799
47.333,7.956958799
47.375,7.956958799
47.417,7.956958799
47.458,7.956958799
47.5,7.956958799
47.542,7.956958799
47.583,7.956958799
47.625,7.956958799
47.667,7.956958799
47.708,7.956958799
47.75,7.956958799
47.792,7.956958799
47.833,7.956958799
47.875,7.956958799
47.917,7.956958799
47.958,7.956958799
48,6.342913776
48.042,6.342913776
48.083,6.342913776
48.125,6.342913776
48.167,6.342913776
48.208,6.342913776
48.25,6.342913776
48.292,6.342913776
48.333,6.342913776
48.375,6.342913776
48.417,6.342913776
48.458,6.342913776
48.5,6.342913776
48.542,6.342913776
48.583,6.342913776
48.625,6.342913776
48.667,6.342913776
48.708,6.342913776
48.75,6.342913776
48.792,6.342913776
48.833,6.342913776
48.875,6.342913776
48.917,6.342913776
48.958,6.342913776
49,5.29520034
49.042,5.29520034
49.083,5.29520034
49.125,5.29520034
49.167,5.29520034
49.208,5.29520034
49.25,5.29520034
49.292,5.29520034
49.333,5.29520034
49.375,5.29520034
49.417,5.29520034
49.458,5.29520034
49.5,5.29520034
49.542,5.29520034
49.583,5.29520034
49.625,5.29520034
49.667,5.29520034
49.708,5.29520034
49.75,5.29520034
49.792,5.29520034
49.833,5.29520034
49.875,5.29520034
49.917,5.29520034
49.958,5.29520034
50,4.41738638
50.042,4.41738638
50.083,4.41738638
50.125,4.41738638
50.167,4.41738638
50.208,4.41738638
50.25,4.41738638
50.292,4.41738638
50.333,4.41738638
50.375,4.41738638
50.417,4.41738638
50.458,4.41738638
50.5,4.41738638
50.542,4.41738638
50.583,4.41738638
50.625,4.41738638
50.667,4.41738638
50.708,4.41738638
50.75,4.41738638
50.792,4.41738638
50.833,4.41738638
50.875,4.41738638
50.917,4.41738638
50.958,4.41738638
51,5.012034546
51.042,5.012034546
51.083,5.012034546
51.125,5.012034546
51.167,5.012034546
51.208,5.012034546
51.25,5.012034546
51.292,5.012034546
51.333,5.012034546
51.375,5.012034546
51.417,5.012034546
51.458,5.012034546
51.5,5.012034546
51.542,5.012034546
51.583,5.012034546
51.625,5.012034546
51.667,5.012034546
51.708,5.012034546
51.75,5.012034546
51.792,5.012034546
51.833,5.012034546
51.875,5.012034546
51.917,5.012034546
51.958,5.012034546
52,4.360753221
52.042,4.360753221
52.083,4.360753221
52.125,4.360753221
52.167,4.360753221
52.208,4.360753221
52.25,4.360753221
52.292,4.360753221
52.333,4.360753221
52.375,4.360753221
52.417,4.360753221
52.458,4.360753221
52.5,4.360753221
52.542,4.360753221
52.583,4.360753221
52.625,4.360753221
52.667,4.360753221
52.708,4.360753221
52.75,4.360753221
52.792,4.360753221
52.833,4.360753221
52.875,4.360753221
52.917,4.360753221
52.958,4.360753221
53,3.454622682
53.042,3.454622682
53.083,3.454622682
53.125,3.454622682
53.167,3.454622682
53.208,3.454622682
53.25,3.454622682
53.292,3.454622682
53.333,3.454622682
53.375,3.454622682
53.417,3.454622682
53.458,3.454622682
53.5,3.454622682
53.542,3.454622682
53.583,3.454622682
53.625,3.454622682
53.667,3.454622682
53.708,3.454622682
53.75,3.454622682
53.792,3.454622682
53.833,3.454622682
53.875,3.454622682
53.917,3.454622682
53.958,3.454622682
54,4.190853745
54.042,4.190853745
54.083,4.190853745
54.125,4.190853745
54.167,4.190853745
54.208,4.190853745
54.25,4.190853745
54.292,4.190853745
54.333,4.190853745
54.375,4.190853745
54.417,4.190853745
54.458,4.190853745
54.5,4.190853745
54.542,4.190853745
54.583,4.190853745
54.625,4.190853745
54.667,4.190853745
54.708,4.190853745
54.75,4.190853745
54.792,4.190853745
54.833,4.190853745
54.875,4.190853745
54.917,4.190853745
54.958,4.190853745
55,5.550049554
55.042,5.550049554
55.083,5.550049554
55.125,5.550049554
55.167,5.550049554
55.208,5.550049554
55.25,5.550049554
55.292,5.550049554
55.333,5.550049554
55.375,5.550049554
55.417,5.550049554
55.458,5.550049554
55.5,5.550049554
55.542,5.550049554
55.583,5.550049554
55.625,5.550049554
55.667,5.550049554
55.708,5.550049554
55.75,5.550049554
55.792,5.550049554
55.833,5.550049554
55.875,5.550049554
55.917,5.550049554
55.958,5.550049554
56,13.0256265
56.042,13.0256265
56.083,13.0256265
56.125,13.0256265
56.167,13.0256265
56.208,13.0256265
56.25,13.0256265
56.292,13.0256265
56.333,13.0256265
56.375,13.0256265
56.417,13.0256265
56.458,13.0256265
56.5,13.0256265
56.542,13.0256265
56.583,13.0256265
56.625,13.0256265
56.667,13.0256265
56.708,13.0256265
56.75,13.0256265
56.792,13.0256265
56.833,13.0256265
56.875,13.0256265
56.917,13.0256265
56.958,13.0256265
57,28.68469489
57.042,28.68469489
57.083,28.68469489
57.125,28.68469489
57.167,28.68469489
57.208,28.68469489
57.25,28.68469489
57.292,28.68469489
57.333,28.68469489
57.375,28.68469489
57.417,28.68469489
57.458,28.68469489
57.5,28.68469489
57.542,28.68469489
57.583,28.68469489
57.625,28.68469489
57.667,28.68469489
57.708,28.68469489
57.75,28.68469489
57.792,28.68469489
57.833,28.68469489
57.875,28.68469489
57.917,28.68469489
57.958,28.68469489
58,38.59549766
58.042,38.59549766
58.083,38.59549766
58.125,38.59549766
58.167,38.59549766
58.208,38.59549766
58.25,38.59549766
58.292,38.59549766
58.333,38.59549766
58.375,38.59549766
58.417,38.59549766
58.458,38.59549766
58.5,38.59549766
58.542,38.59549766
58.583,38.59549766
58.625,38.59549766
58.667,38.59549766
58.708,38.59549766
58.75,38.59549766
58.792,38.59549766
58.833,38.59549766
58.875,38.59549766
58.917,38.59549766
58.958,38.59549766
59,20.92595214
59.042,20.92595214
59.083,20.92595214
59.125,20.92595214
59.167,20.92595214
59.208,20.92595214
59.25,20.92595214
59.292,20.92595214
59.333,20.92595214
59.375,20.92595214
59.417,20.92595214
59.458,20.92595214
