$Trinity Lake Swift Cr flow year 2018 YC updated 06/01/23,
6.417,2.888291094
6.458,2.888291094
6.5,2.888291094
6.542,2.888291094
6.583,2.888291094
6.625,2.888291094
6.667,2.888291094
6.708,2.888291094
6.75,2.888291094
6.792,2.888291094
6.833,2.888291094
6.875,2.888291094
6.917,2.888291094
6.958,2.888291094
7,3.766105055
7.042,3.766105055
7.083,3.766105055
7.125,3.766105055
7.167,3.766105055
7.208,3.766105055
7.25,3.766105055
7.292,3.766105055
7.333,3.766105055
7.375,3.766105055
7.417,3.766105055
7.458,3.766105055
7.5,3.766105055
7.542,3.766105055
7.583,3.766105055
7.625,3.766105055
7.667,3.766105055
7.708,3.766105055
7.75,3.766105055
7.792,3.766105055
7.833,3.766105055
7.875,3.766105055
7.917,3.766105055
7.958,3.766105055
8,7.673793006
8.042,7.673793006
8.083,7.673793006
8.125,7.673793006
8.167,7.673793006
8.208,7.673793006
8.25,7.673793006
8.292,7.673793006
8.333,7.673793006
8.375,7.673793006
8.417,7.673793006
8.458,7.673793006
8.5,7.673793006
8.542,7.673793006
8.583,7.673793006
8.625,7.673793006
8.667,7.673793006
8.708,7.673793006
8.75,7.673793006
8.792,7.673793006
8.833,7.673793006
8.875,7.673793006
8.917,7.673793006
8.958,7.673793006
9,4.785501911
9.042,4.785501911
9.083,4.785501911
9.125,4.785501911
9.167,4.785501911
9.208,4.785501911
9.25,4.785501911
9.292,4.785501911
9.333,4.785501911
9.375,4.785501911
9.417,4.785501911
9.458,4.785501911
9.5,4.785501911
9.542,4.785501911
9.583,4.785501911
9.625,4.785501911
9.667,4.785501911
9.708,4.785501911
9.75,4.785501911
9.792,4.785501911
9.833,4.785501911
9.875,4.785501911
9.917,4.785501911
9.958,4.785501911
10,3.737788475
10.042,3.737788475
10.083,3.737788475
10.125,3.737788475
10.167,3.737788475
10.208,3.737788475
10.25,3.737788475
10.292,3.737788475
10.333,3.737788475
10.375,3.737788475
10.417,3.737788475
10.458,3.737788475
10.5,3.737788475
10.542,3.737788475
10.583,3.737788475
10.625,3.737788475
10.667,3.737788475
10.708,3.737788475
10.75,3.737788475
10.792,3.737788475
10.833,3.737788475
10.875,3.737788475
10.917,3.737788475
10.958,3.737788475
11,3.029873991
11.042,3.029873991
11.083,3.029873991
11.125,3.029873991
11.167,3.029873991
11.208,3.029873991
11.25,3.029873991
11.292,3.029873991
11.333,3.029873991
11.375,3.029873991
11.417,3.029873991
11.458,3.029873991
11.5,3.029873991
11.542,3.029873991
11.583,3.029873991
11.625,3.029873991
11.667,3.029873991
11.708,3.029873991
11.75,3.029873991
11.792,3.029873991
11.833,3.029873991
11.875,3.029873991
11.917,3.029873991
11.958,3.029873991
12,2.775024777
12.042,2.775024777
12.083,2.775024777
12.125,2.775024777
12.167,2.775024777
12.208,2.775024777
12.25,2.775024777
12.292,2.775024777
12.333,2.775024777
12.375,2.775024777
12.417,2.775024777
12.458,2.775024777
12.5,2.775024777
12.542,2.775024777
12.583,2.775024777
12.625,2.775024777
12.667,2.775024777
12.708,2.775024777
12.75,2.775024777
12.792,2.775024777
12.833,2.775024777
12.875,2.775024777
12.917,2.775024777
12.958,2.775024777
13,2.152060031
13.042,2.152060031
13.083,2.152060031
13.125,2.152060031
13.167,2.152060031
13.208,2.152060031
13.25,2.152060031
13.292,2.152060031
13.333,2.152060031
13.375,2.152060031
13.417,2.152060031
13.458,2.152060031
13.5,2.152060031
13.542,2.152060031
13.583,2.152060031
13.625,2.152060031
13.667,2.152060031
13.708,2.152060031
13.75,2.152060031
13.792,2.152060031
13.833,2.152060031
13.875,2.152060031
13.917,2.152060031
13.958,2.152060031
14,2.123743452
14.042,2.123743452
14.083,2.123743452
14.125,2.123743452
14.167,2.123743452
14.208,2.123743452
14.25,2.123743452
14.292,2.123743452
14.333,2.123743452
14.375,2.123743452
14.417,2.123743452
14.458,2.123743452
14.5,2.123743452
14.542,2.123743452
14.583,2.123743452
14.625,2.123743452
14.667,2.123743452
14.708,2.123743452
14.75,2.123743452
14.792,2.123743452
14.833,2.123743452
14.875,2.123743452
14.917,2.123743452
14.958,2.123743452
15,3.228090047
15.042,3.228090047
15.083,3.228090047
15.125,3.228090047
15.167,3.228090047
15.208,3.228090047
15.25,3.228090047
15.292,3.228090047
15.333,3.228090047
15.375,3.228090047
15.417,3.228090047
15.458,3.228090047
15.5,3.228090047
15.542,3.228090047
15.583,3.228090047
15.625,3.228090047
15.667,3.228090047
15.708,3.228090047
15.75,3.228090047
15.792,3.228090047
15.833,3.228090047
15.875,3.228090047
15.917,3.228090047
15.958,3.228090047
16,2.20869319
16.042,2.20869319
16.083,2.20869319
16.125,2.20869319
16.167,2.20869319
16.208,2.20869319
16.25,2.20869319
16.292,2.20869319
16.333,2.20869319
16.375,2.20869319
16.417,2.20869319
16.458,2.20869319
16.5,2.20869319
16.542,2.20869319
16.583,2.20869319
16.625,2.20869319
16.667,2.20869319
16.708,2.20869319
16.75,2.20869319
16.792,2.20869319
16.833,2.20869319
16.875,2.20869319
16.917,2.20869319
16.958,2.20869319
17,1.982160555
17.042,1.982160555
17.083,1.982160555
17.125,1.982160555
17.167,1.982160555
17.208,1.982160555
17.25,1.982160555
17.292,1.982160555
17.333,1.982160555
17.375,1.982160555
17.417,1.982160555
17.458,1.982160555
17.5,1.982160555
17.542,1.982160555
17.583,1.982160555
17.625,1.982160555
17.667,1.982160555
17.708,1.982160555
17.75,1.982160555
17.792,1.982160555
17.833,1.982160555
17.875,1.982160555
17.917,1.982160555
17.958,1.982160555
18,5.26688376
18.042,5.26688376
18.083,5.26688376
18.125,5.26688376
18.167,5.26688376
18.208,5.26688376
18.25,5.26688376
18.292,5.26688376
18.333,5.26688376
18.375,5.26688376
18.417,5.26688376
18.458,5.26688376
18.5,5.26688376
18.542,5.26688376
18.583,5.26688376
18.625,5.26688376
18.667,5.26688376
18.708,5.26688376
18.75,5.26688376
18.792,5.26688376
18.833,5.26688376
18.875,5.26688376
18.917,5.26688376
18.958,5.26688376
19,3.624522158
19.042,3.624522158
19.083,3.624522158
19.125,3.624522158
19.167,3.624522158
19.208,3.624522158
19.25,3.624522158
19.292,3.624522158
19.333,3.624522158
19.375,3.624522158
19.417,3.624522158
19.458,3.624522158
19.5,3.624522158
19.542,3.624522158
19.583,3.624522158
19.625,3.624522158
19.667,3.624522158
19.708,3.624522158
19.75,3.624522158
19.792,3.624522158
19.833,3.624522158
19.875,3.624522158
19.917,3.624522158
19.958,3.624522158
20,2.775024777
20.042,2.775024777
20.083,2.775024777
20.125,2.775024777
20.167,2.775024777
20.208,2.775024777
20.25,2.775024777
20.292,2.775024777
20.333,2.775024777
20.375,2.775024777
20.417,2.775024777
20.458,2.775024777
20.5,2.775024777
20.542,2.775024777
20.583,2.775024777
20.625,2.775024777
20.667,2.775024777
20.708,2.775024777
20.75,2.775024777
20.792,2.775024777
20.833,2.775024777
20.875,2.775024777
20.917,2.775024777
20.958,2.775024777
21,2.491858983
21.042,2.491858983
21.083,2.491858983
21.125,2.491858983
21.167,2.491858983
21.208,2.491858983
21.25,2.491858983
21.292,2.491858983
21.333,2.491858983
21.375,2.491858983
21.417,2.491858983
21.458,2.491858983
21.5,2.491858983
21.542,2.491858983
21.583,2.491858983
21.625,2.491858983
21.667,2.491858983
21.708,2.491858983
21.75,2.491858983
21.792,2.491858983
21.833,2.491858983
21.875,2.491858983
21.917,2.491858983
21.958,2.491858983
22,4.672235594
22.042,4.672235594
22.083,4.672235594
22.125,4.672235594
22.167,4.672235594
22.208,4.672235594
22.25,4.672235594
22.292,4.672235594
22.333,4.672235594
22.375,4.672235594
22.417,4.672235594
22.458,4.672235594
22.5,4.672235594
22.542,4.672235594
22.583,4.672235594
22.625,4.672235594
22.667,4.672235594
22.708,4.672235594
22.75,4.672235594
22.792,4.672235594
22.833,4.672235594
22.875,4.672235594
22.917,4.672235594
22.958,4.672235594
23,2.63344188
23.042,2.63344188
23.083,2.63344188
23.125,2.63344188
23.167,2.63344188
23.208,2.63344188
23.25,2.63344188
23.292,2.63344188
23.333,2.63344188
23.375,2.63344188
23.417,2.63344188
23.458,2.63344188
23.5,2.63344188
23.542,2.63344188
23.583,2.63344188
23.625,2.63344188
23.667,2.63344188
23.708,2.63344188
23.75,2.63344188
23.792,2.63344188
23.833,2.63344188
23.875,2.63344188
23.917,2.63344188
23.958,2.63344188
24,4.898768229
24.042,4.898768229
24.083,4.898768229
24.125,4.898768229
24.167,4.898768229
24.208,4.898768229
24.25,4.898768229
24.292,4.898768229
24.333,4.898768229
24.375,4.898768229
24.417,4.898768229
24.458,4.898768229
24.5,4.898768229
24.542,4.898768229
24.583,4.898768229
24.625,4.898768229
24.667,4.898768229
24.708,4.898768229
24.75,4.898768229
24.792,4.898768229
24.833,4.898768229
24.875,4.898768229
24.917,4.898768229
24.958,4.898768229
25,4.41738638
25.042,4.41738638
25.083,4.41738638
25.125,4.41738638
25.167,4.41738638
25.208,4.41738638
25.25,4.41738638
25.292,4.41738638
25.333,4.41738638
25.375,4.41738638
25.417,4.41738638
25.458,4.41738638
25.5,4.41738638
25.542,4.41738638
25.583,4.41738638
25.625,4.41738638
25.667,4.41738638
25.708,4.41738638
25.75,4.41738638
25.792,4.41738638
25.833,4.41738638
25.875,4.41738638
25.917,4.41738638
25.958,4.41738638
26,3.058190571
26.042,3.058190571
26.083,3.058190571
26.125,3.058190571
26.167,3.058190571
26.208,3.058190571
26.25,3.058190571
26.292,3.058190571
26.333,3.058190571
26.375,3.058190571
26.417,3.058190571
26.458,3.058190571
26.5,3.058190571
26.542,3.058190571
26.583,3.058190571
26.625,3.058190571
26.667,3.058190571
26.708,3.058190571
26.75,3.058190571
26.792,3.058190571
26.833,3.058190571
26.875,3.058190571
26.917,3.058190571
26.958,3.058190571
27,3.51125584
27.042,3.51125584
27.083,3.51125584
27.125,3.51125584
27.167,3.51125584
27.208,3.51125584
27.25,3.51125584
27.292,3.51125584
27.333,3.51125584
27.375,3.51125584
27.417,3.51125584
27.458,3.51125584
27.5,3.51125584
27.542,3.51125584
27.583,3.51125584
27.625,3.51125584
27.667,3.51125584
27.708,3.51125584
27.75,3.51125584
27.792,3.51125584
27.833,3.51125584
27.875,3.51125584
27.917,3.51125584
27.958,3.51125584
28,2.576808722
28.042,2.576808722
28.083,2.576808722
28.125,2.576808722
28.167,2.576808722
28.208,2.576808722
28.25,2.576808722
28.292,2.576808722
28.333,2.576808722
28.375,2.576808722
28.417,2.576808722
28.458,2.576808722
28.5,2.576808722
28.542,2.576808722
28.583,2.576808722
28.625,2.576808722
28.667,2.576808722
28.708,2.576808722
28.75,2.576808722
28.792,2.576808722
28.833,2.576808722
28.875,2.576808722
28.917,2.576808722
28.958,2.576808722
29,2.321959507
29.042,2.321959507
29.083,2.321959507
29.125,2.321959507
29.167,2.321959507
29.208,2.321959507
29.25,2.321959507
29.292,2.321959507
29.333,2.321959507
29.375,2.321959507
29.417,2.321959507
29.458,2.321959507
29.5,2.321959507
29.542,2.321959507
29.583,2.321959507
29.625,2.321959507
29.667,2.321959507
29.708,2.321959507
29.75,2.321959507
29.792,2.321959507
29.833,2.321959507
29.875,2.321959507
29.917,2.321959507
29.958,2.321959507
30,2.718391618
30.042,2.718391618
30.083,2.718391618
30.125,2.718391618
30.167,2.718391618
30.208,2.718391618
30.25,2.718391618
30.292,2.718391618
30.333,2.718391618
30.375,2.718391618
30.417,2.718391618
30.458,2.718391618
30.5,2.718391618
30.542,2.718391618
30.583,2.718391618
30.625,2.718391618
30.667,2.718391618
30.708,2.718391618
30.75,2.718391618
30.792,2.718391618
30.833,2.718391618
30.875,2.718391618
30.917,2.718391618
30.958,2.718391618
31,2.152060031
31.042,2.152060031
31.083,2.152060031
31.125,2.152060031
31.167,2.152060031
31.208,2.152060031
31.25,2.152060031
31.292,2.152060031
31.333,2.152060031
31.375,2.152060031
31.417,2.152060031
31.458,2.152060031
31.5,2.152060031
31.542,2.152060031
31.583,2.152060031
31.625,2.152060031
31.667,2.152060031
31.708,2.152060031
31.75,2.152060031
31.792,2.152060031
31.833,2.152060031
31.875,2.152060031
31.917,2.152060031
31.958,2.152060031
32,2.576808722
32.042,2.576808722
32.083,2.576808722
32.125,2.576808722
32.167,2.576808722
32.208,2.576808722
32.25,2.576808722
32.292,2.576808722
32.333,2.576808722
32.375,2.576808722
32.417,2.576808722
32.458,2.576808722
32.5,2.576808722
32.542,2.576808722
32.583,2.576808722
32.625,2.576808722
32.667,2.576808722
32.708,2.576808722
32.75,2.576808722
32.792,2.576808722
32.833,2.576808722
32.875,2.576808722
32.917,2.576808722
32.958,2.576808722
33,2.491858983
33.042,2.491858983
33.083,2.491858983
33.125,2.491858983
33.167,2.491858983
33.208,2.491858983
33.25,2.491858983
33.292,2.491858983
33.333,2.491858983
33.375,2.491858983
33.417,2.491858983
33.458,2.491858983
33.5,2.491858983
33.542,2.491858983
33.583,2.491858983
33.625,2.491858983
33.667,2.491858983
33.708,2.491858983
33.75,2.491858983
33.792,2.491858983
33.833,2.491858983
33.875,2.491858983
33.917,2.491858983
33.958,2.491858983
34,3.567888999
34.042,3.567888999
34.083,3.567888999
34.125,3.567888999
34.167,3.567888999
34.208,3.567888999
34.25,3.567888999
34.292,3.567888999
34.333,3.567888999
34.375,3.567888999
34.417,3.567888999
34.458,3.567888999
34.5,3.567888999
34.542,3.567888999
34.583,3.567888999
34.625,3.567888999
34.667,3.567888999
34.708,3.567888999
34.75,3.567888999
34.792,3.567888999
34.833,3.567888999
34.875,3.567888999
34.917,3.567888999
34.958,3.567888999
35,3.482939261
35.042,3.482939261
35.083,3.482939261
35.125,3.482939261
35.167,3.482939261
35.208,3.482939261
35.25,3.482939261
35.292,3.482939261
35.333,3.482939261
35.375,3.482939261
35.417,3.482939261
35.458,3.482939261
35.5,3.482939261
35.542,3.482939261
35.583,3.482939261
35.625,3.482939261
35.667,3.482939261
35.708,3.482939261
35.75,3.482939261
35.792,3.482939261
35.833,3.482939261
35.875,3.482939261
35.917,3.482939261
35.958,3.482939261
36,3.737788475
36.042,3.737788475
36.083,3.737788475
36.125,3.737788475
36.167,3.737788475
36.208,3.737788475
36.25,3.737788475
36.292,3.737788475
36.333,3.737788475
36.375,3.737788475
36.417,3.737788475
36.458,3.737788475
36.5,3.737788475
36.542,3.737788475
36.583,3.737788475
36.625,3.737788475
36.667,3.737788475
36.708,3.737788475
36.75,3.737788475
36.792,3.737788475
36.833,3.737788475
36.875,3.737788475
36.917,3.737788475
36.958,3.737788475
37,3.341356364
37.042,3.341356364
37.083,3.341356364
37.125,3.341356364
37.167,3.341356364
37.208,3.341356364
37.25,3.341356364
37.292,3.341356364
37.333,3.341356364
37.375,3.341356364
37.417,3.341356364
37.458,3.341356364
37.5,3.341356364
37.542,3.341356364
37.583,3.341356364
37.625,3.341356364
37.667,3.341356364
37.708,3.341356364
37.75,3.341356364
37.792,3.341356364
37.833,3.341356364
37.875,3.341356364
37.917,3.341356364
37.958,3.341356364
38,2.859974515
38.042,2.859974515
38.083,2.859974515
38.125,2.859974515
38.167,2.859974515
38.208,2.859974515
38.25,2.859974515
38.292,2.859974515
38.333,2.859974515
38.375,2.859974515
38.417,2.859974515
38.458,2.859974515
38.5,2.859974515
38.542,2.859974515
38.583,2.859974515
38.625,2.859974515
38.667,2.859974515
38.708,2.859974515
38.75,2.859974515
38.792,2.859974515
38.833,2.859974515
38.875,2.859974515
38.917,2.859974515
38.958,2.859974515
39,2.293642928
39.042,2.293642928
39.083,2.293642928
39.125,2.293642928
39.167,2.293642928
39.208,2.293642928
39.25,2.293642928
39.292,2.293642928
39.333,2.293642928
39.375,2.293642928
39.417,2.293642928
39.458,2.293642928
39.5,2.293642928
39.542,2.293642928
39.583,2.293642928
39.625,2.293642928
39.667,2.293642928
39.708,2.293642928
39.75,2.293642928
39.792,2.293642928
39.833,2.293642928
39.875,2.293642928
39.917,2.293642928
39.958,2.293642928
40,2.888291094
40.042,2.888291094
40.083,2.888291094
40.125,2.888291094
40.167,2.888291094
40.208,2.888291094
40.25,2.888291094
40.292,2.888291094
40.333,2.888291094
40.375,2.888291094
40.417,2.888291094
40.458,2.888291094
40.5,2.888291094
40.542,2.888291094
40.583,2.888291094
40.625,2.888291094
40.667,2.888291094
40.708,2.888291094
40.75,2.888291094
40.792,2.888291094
40.833,2.888291094
40.875,2.888291094
40.917,2.888291094
40.958,2.888291094
41,2.010477134
41.042,2.010477134
41.083,2.010477134
41.125,2.010477134
41.167,2.010477134
41.208,2.010477134
41.25,2.010477134
41.292,2.010477134
41.333,2.010477134
41.375,2.010477134
41.417,2.010477134
41.458,2.010477134
41.5,2.010477134
41.542,2.010477134
41.583,2.010477134
41.625,2.010477134
41.667,2.010477134
41.708,2.010477134
41.75,2.010477134
41.792,2.010477134
41.833,2.010477134
41.875,2.010477134
41.917,2.010477134
41.958,2.010477134
42,1.7839445
42.042,1.7839445
42.083,1.7839445
42.125,1.7839445
42.167,1.7839445
42.208,1.7839445
42.25,1.7839445
42.292,1.7839445
42.333,1.7839445
42.375,1.7839445
42.417,1.7839445
42.458,1.7839445
42.5,1.7839445
42.542,1.7839445
42.583,1.7839445
42.625,1.7839445
42.667,1.7839445
42.708,1.7839445
42.75,1.7839445
42.792,1.7839445
42.833,1.7839445
42.875,1.7839445
42.917,1.7839445
42.958,1.7839445
43,2.463542404
43.042,2.463542404
43.083,2.463542404
43.125,2.463542404
43.167,2.463542404
43.208,2.463542404
43.25,2.463542404
43.292,2.463542404
43.333,2.463542404
43.375,2.463542404
43.417,2.463542404
43.458,2.463542404
43.5,2.463542404
43.542,2.463542404
43.583,2.463542404
43.625,2.463542404
43.667,2.463542404
43.708,2.463542404
43.75,2.463542404
43.792,2.463542404
43.833,2.463542404
43.875,2.463542404
43.917,2.463542404
43.958,2.463542404
44,1.444145547
44.042,1.444145547
44.083,1.444145547
44.125,1.444145547
44.167,1.444145547
44.208,1.444145547
44.25,1.444145547
44.292,1.444145547
44.333,1.444145547
44.375,1.444145547
44.417,1.444145547
44.458,1.444145547
44.5,1.444145547
44.542,1.444145547
44.583,1.444145547
44.625,1.444145547
44.667,1.444145547
44.708,1.444145547
44.75,1.444145547
44.792,1.444145547
44.833,1.444145547
44.875,1.444145547
44.917,1.444145547
44.958,1.444145547
45,1.7839445
45.042,1.7839445
45.083,1.7839445
45.125,1.7839445
45.167,1.7839445
45.208,1.7839445
45.25,1.7839445
45.292,1.7839445
45.333,1.7839445
45.375,1.7839445
45.417,1.7839445
45.458,1.7839445
45.5,1.7839445
45.542,1.7839445
45.583,1.7839445
45.625,1.7839445
45.667,1.7839445
45.708,1.7839445
45.75,1.7839445
45.792,1.7839445
45.833,1.7839445
45.875,1.7839445
45.917,1.7839445
45.958,1.7839445
46,1.897210817
46.042,1.897210817
46.083,1.897210817
46.125,1.897210817
46.167,1.897210817
46.208,1.897210817
46.25,1.897210817
46.292,1.897210817
46.333,1.897210817
46.375,1.897210817
46.417,1.897210817
46.458,1.897210817
46.5,1.897210817
46.542,1.897210817
46.583,1.897210817
46.625,1.897210817
46.667,1.897210817
46.708,1.897210817
46.75,1.897210817
46.792,1.897210817
46.833,1.897210817
46.875,1.897210817
46.917,1.897210817
46.958,1.897210817
47,1.670678182
47.042,1.670678182
47.083,1.670678182
47.125,1.670678182
47.167,1.670678182
47.208,1.670678182
47.25,1.670678182
47.292,1.670678182
47.333,1.670678182
47.375,1.670678182
47.417,1.670678182
47.458,1.670678182
47.5,1.670678182
47.542,1.670678182
47.583,1.670678182
47.625,1.670678182
47.667,1.670678182
47.708,1.670678182
47.75,1.670678182
47.792,1.670678182
47.833,1.670678182
47.875,1.670678182
47.917,1.670678182
47.958,1.670678182
48,0.906130539
48.042,0.906130539
48.083,0.906130539
48.125,0.906130539
48.167,0.906130539
48.208,0.906130539
48.25,0.906130539
48.292,0.906130539
48.333,0.906130539
48.375,0.906130539
48.417,0.906130539
48.458,0.906130539
48.5,0.906130539
48.542,0.906130539
48.583,0.906130539
48.625,0.906130539
48.667,0.906130539
48.708,0.906130539
48.75,0.906130539
48.792,0.906130539
48.833,0.906130539
48.875,0.906130539
48.917,0.906130539
48.958,0.906130539
49,1.812261079
49.042,1.812261079
49.083,1.812261079
49.125,1.812261079
49.167,1.812261079
49.208,1.812261079
49.25,1.812261079
49.292,1.812261079
49.333,1.812261079
49.375,1.812261079
49.417,1.812261079
49.458,1.812261079
49.5,1.812261079
49.542,1.812261079
49.583,1.812261079
49.625,1.812261079
49.667,1.812261079
49.708,1.812261079
49.75,1.812261079
49.792,1.812261079
49.833,1.812261079
49.875,1.812261079
49.917,1.812261079
49.958,1.812261079
50,1.415828968
50.042,1.415828968
50.083,1.415828968
50.125,1.415828968
50.167,1.415828968
50.208,1.415828968
50.25,1.415828968
50.292,1.415828968
50.333,1.415828968
50.375,1.415828968
50.417,1.415828968
50.458,1.415828968
50.5,1.415828968
50.542,1.415828968
50.583,1.415828968
50.625,1.415828968
50.667,1.415828968
50.708,1.415828968
50.75,1.415828968
50.792,1.415828968
50.833,1.415828968
50.875,1.415828968
50.917,1.415828968
50.958,1.415828968
51,1.500778706
51.042,1.500778706
51.083,1.500778706
51.125,1.500778706
51.167,1.500778706
51.208,1.500778706
51.25,1.500778706
51.292,1.500778706
51.333,1.500778706
51.375,1.500778706
51.417,1.500778706
51.458,1.500778706
51.5,1.500778706
51.542,1.500778706
51.583,1.500778706
51.625,1.500778706
51.667,1.500778706
51.708,1.500778706
51.75,1.500778706
51.792,1.500778706
51.833,1.500778706
51.875,1.500778706
51.917,1.500778706
51.958,1.500778706
52,1.076030016
52.042,1.076030016
52.083,1.076030016
52.125,1.076030016
52.167,1.076030016
52.208,1.076030016
52.25,1.076030016
52.292,1.076030016
52.333,1.076030016
52.375,1.076030016
52.417,1.076030016
52.458,1.076030016
52.5,1.076030016
52.542,1.076030016
52.583,1.076030016
52.625,1.076030016
52.667,1.076030016
52.708,1.076030016
52.75,1.076030016
52.792,1.076030016
52.833,1.076030016
52.875,1.076030016
52.917,1.076030016
52.958,1.076030016
53,1.812261079
53.042,1.812261079
53.083,1.812261079
53.125,1.812261079
53.167,1.812261079
53.208,1.812261079
53.25,1.812261079
53.292,1.812261079
53.333,1.812261079
53.375,1.812261079
53.417,1.812261079
53.458,1.812261079
53.5,1.812261079
53.542,1.812261079
53.583,1.812261079
53.625,1.812261079
53.667,1.812261079
53.708,1.812261079
53.75,1.812261079
53.792,1.812261079
53.833,1.812261079
53.875,1.812261079
53.917,1.812261079
53.958,1.812261079
54,1.160979754
54.042,1.160979754
54.083,1.160979754
54.125,1.160979754
54.167,1.160979754
54.208,1.160979754
54.25,1.160979754
54.292,1.160979754
54.333,1.160979754
54.375,1.160979754
54.417,1.160979754
54.458,1.160979754
54.5,1.160979754
54.542,1.160979754
54.583,1.160979754
54.625,1.160979754
54.667,1.160979754
54.708,1.160979754
54.75,1.160979754
54.792,1.160979754
54.833,1.160979754
54.875,1.160979754
54.917,1.160979754
54.958,1.160979754
55,0.934447119
55.042,0.934447119
55.083,0.934447119
55.125,0.934447119
55.167,0.934447119
55.208,0.934447119
55.25,0.934447119
55.292,0.934447119
55.333,0.934447119
55.375,0.934447119
55.417,0.934447119
55.458,0.934447119
55.5,0.934447119
55.542,0.934447119
55.583,0.934447119
55.625,0.934447119
55.667,0.934447119
55.708,0.934447119
55.75,0.934447119
55.792,0.934447119
55.833,0.934447119
55.875,0.934447119
55.917,0.934447119
55.958,0.934447119
56,1.132663174
56.042,1.132663174
56.083,1.132663174
56.125,1.132663174
56.167,1.132663174
56.208,1.132663174
56.25,1.132663174
56.292,1.132663174
56.333,1.132663174
56.375,1.132663174
56.417,1.132663174
56.458,1.132663174
56.5,1.132663174
56.542,1.132663174
56.583,1.132663174
56.625,1.132663174
56.667,1.132663174
56.708,1.132663174
56.75,1.132663174
56.792,1.132663174
56.833,1.132663174
56.875,1.132663174
56.917,1.132663174
56.958,1.132663174
57,1.670678182
57.042,1.670678182
57.083,1.670678182
57.125,1.670678182
57.167,1.670678182
57.208,1.670678182
57.25,1.670678182
57.292,1.670678182
57.333,1.670678182
57.375,1.670678182
57.417,1.670678182
57.458,1.670678182
57.5,1.670678182
57.542,1.670678182
57.583,1.670678182
57.625,1.670678182
57.667,1.670678182
57.708,1.670678182
57.75,1.670678182
57.792,1.670678182
57.833,1.670678182
57.875,1.670678182
57.917,1.670678182
57.958,1.670678182
58,0.764547643
58.042,0.764547643
58.083,0.764547643
58.125,0.764547643
58.167,0.764547643
58.208,0.764547643
58.25,0.764547643
58.292,0.764547643
58.333,0.764547643
58.375,0.764547643
58.417,0.764547643
58.458,0.764547643
58.5,0.764547643
58.542,0.764547643
58.583,0.764547643
58.625,0.764547643
58.667,0.764547643
58.708,0.764547643
58.75,0.764547643
58.792,0.764547643
58.833,0.764547643
58.875,0.764547643
58.917,0.764547643
58.958,0.764547643
59,2.435225825
59.042,2.435225825
59.083,2.435225825
59.125,2.435225825
59.167,2.435225825
59.208,2.435225825
59.25,2.435225825
59.292,2.435225825
59.333,2.435225825
59.375,2.435225825
