$Lewiston inflow year 2018 YC 06/23/22,
19.375,0.0849
19.417,0.0849
19.458,0.0849
19.5,0.0849
19.542,0.0849
19.583,4.1652223
19.625,51.6883652
19.667,53.9980414
19.708,54.1696809
19.75,54.1516255
19.792,54.1027797
19.833,54.1380415
19.875,53.8593148
19.917,42.3262441
19.958,2.7252617
20,0.0849
20.042,0.0849
20.083,0.0849
20.125,0.0849
20.167,0.0849
20.208,0.0849
20.25,3.0155631
20.292,41.9812388
20.333,43.8133525
20.375,41.873812
20.417,3.0570792
20.458,0.0849
20.5,0.0849
20.542,0.0849
20.583,0.0849
20.625,0.0849
20.667,0.0849
20.708,4.3119861
20.75,51.6597822
20.792,54.2520905
20.833,53.967534
20.875,51.7464368
20.917,3.2123613
20.958,0.0849
21,0.0849
21.042,0.0849
21.083,0.0849
21.125,0.0849
21.167,0.0849
21.208,0.0849
21.25,0.0849
21.292,0.0849
21.333,0.0849
21.375,0.0849
21.417,0.0849
21.458,0.0849
21.5,0.0849
21.542,0.0849
21.583,0.0849
21.625,0.0849
21.667,0.0849
21.708,3.1780334
21.75,52.0208336
21.792,53.9524501
21.833,54.1720581
21.875,51.4759454
21.917,3.8089819
21.958,0.0849
22,0.0849
22.042,0.0849
22.083,0.0849
22.125,0.0849
22.167,0.0849
22.208,0.0849
22.25,0.0849
22.292,0.0849
22.333,0.0849
22.375,0.0849
22.417,0.0849
22.458,0.0849
22.5,3.145828
22.542,51.5476293
22.583,54.2466852
22.625,54.0418215
22.667,54.1125715
22.708,54.3258686
22.75,54.3387734
22.792,54.3755634
22.833,54.3938735
22.875,53.7523125
22.917,42.3859571
22.958,2.9990925
23,0.0849
23.042,0.0849
23.083,0.0849
23.125,0.0849
23.167,0.0849
23.208,0.0849
23.25,0.0849
23.292,0.0849
23.333,0.0849
23.375,0.0849
23.417,0.0849
23.458,0.0849
23.5,0.0849
23.542,0.0849
23.583,2.6020718
23.625,41.9192901
23.667,43.4639607
23.708,43.716708
23.75,41.7175111
23.792,3.0093088
23.833,0.0849
23.875,0.0849
23.917,0.0849
23.958,0.0849
24,0.0849
24.042,0.0849
24.083,0.0849
24.125,0.0849
24.167,0.0849
24.208,0.0849
24.25,0.0849
24.292,0.0849
24.333,0.0849
24.375,0.0849
24.417,0.0849
24.458,0.0849
24.5,0.0849
24.542,0.0849
24.583,0.0849
24.625,2.6813401
24.667,24.1324571
24.708,52.2706094
24.75,54.1853591
24.792,54.0069842
24.833,53.7982434
24.875,53.9730525
24.917,51.4530224
24.958,3.1890704
25,0.0849
25.042,0.0849
25.083,0.0849
25.125,0.0849
25.167,0.0849
25.208,0.0849
25.25,3.2650559
25.292,40.346461
25.333,3.82333
25.375,0.0849
25.417,0.0849
25.458,0.0849
25.5,0.0849
25.542,0.0849
25.583,0.3922663
25.625,42.4342369
25.667,43.9608804
25.708,53.4670768
25.75,53.9384982
25.792,53.9532425
25.833,53.9994281
25.875,53.8619184
25.917,51.4344859
25.958,3.1397152
26,0.0849
26.042,0.0849
26.083,0.0849
26.125,0.0849
26.167,0.0849
26.208,0.0849
26.25,0.0849
26.292,0.0849
26.333,0.0849
26.375,0.0849
26.417,0.0849
26.458,0.0849
26.5,0.0849
26.542,0.0849
26.583,29.1205868
26.625,53.9309421
26.667,53.8341278
26.708,53.9489409
26.75,54.0201437
26.792,53.8801153
26.833,54.1213728
26.875,53.9533557
26.917,51.5898812
26.958,3.398547
27,0.0849
27.042,0.0849
27.083,0.0849
27.125,0.0849
27.167,0.0849
27.208,0.0849
27.25,0.0849
27.292,0.0849
27.333,0.0849
27.375,0.0849
27.417,0.0849
27.458,0.0849
27.5,0.0849
27.542,0.0849
27.583,0.0849
27.625,0.0849
27.667,3.064607
27.708,51.4891049
27.75,54.0811585
27.792,54.0855733
27.833,54.1815669
27.875,54.0726402
27.917,53.7291065
27.958,43.0372533
28,23.7900837
28.042,2.550679
28.083,0.0849
28.125,0.0849
28.167,0.0849
28.208,0.0849
28.25,0.0849
28.292,0.0849
28.333,0.0849
28.375,0.0849
28.417,0.0849
28.458,0.0849
28.5,0.0849
28.542,0.0849
28.583,0.0849
28.625,0.0849
28.667,0.0849
28.708,0.0849
28.75,0.0849
28.792,0.0849
28.833,26.5489658
28.875,53.9670812
28.917,45.2047786
28.958,49.9036257
29,40.358347
29.042,26.2846155
29.083,35.0022324
29.125,32.375483
29.167,2.9885932
29.208,0.0849
29.25,0.0849
29.292,0.0849
29.333,0.0849
29.375,0.0849
29.417,0.0849
29.458,0.0849
29.5,0.0849
29.542,0.0849
29.583,0.0849
29.625,0.0849
29.667,0.0849
29.708,0.0849
29.75,0.0849
29.792,0.0849
29.833,0.0849
29.875,0.0849
29.917,0.0849
29.958,0.0849
30,0.0849
30.042,0.0849
30.083,0.0849
30.125,0.0849
30.167,0.0849
30.208,0.0849
30.25,0.0849
30.292,0.0849
30.333,0.0849
30.375,0.0849
30.417,0.0849
30.458,0.0849
30.5,0.0849
30.542,43.6276479
30.583,67.0886309
30.625,67.0873857
30.667,67.0863386
30.708,32.4537042
30.75,0.0849
30.792,0.0849
30.833,0.0849
30.875,0.0849
30.917,0.0849
30.958,0.0849
31,0.0849
31.042,0.0849
31.083,0.0849
31.125,0.0849
31.167,0.0849
31.208,0.0849
31.25,0.0849
31.292,0.0849
31.333,0.0849
31.375,0.0849
31.417,0.0849
31.458,0.0849
31.5,0.0849
31.542,0.0849
31.583,0.0849
31.625,0.0849
31.667,2.4775235
31.708,67.284665
31.75,67.0976303
31.792,66.9098032
31.833,67.0943475
31.875,67.0931023
31.917,67.0920835
31.958,67.2773636
32,17.373653
32.042,0.0849
32.083,0.0849
32.125,0.0849
32.167,0.0849
32.208,0.0849
32.25,0.0849
32.292,0.0849
32.333,0.0849
32.375,0.0849
32.417,0.0849
32.458,0.0849
32.5,0.0849
32.542,0.0849
32.583,0.0849
32.625,0.0951446
32.667,0.0849
32.708,5.7501072
32.75,51.5588644
32.792,53.8513908
32.833,54.0579242
32.875,58.9611822
32.917,51.620615
32.958,3.3027798
33,0.0849
33.042,0.0849
33.083,0.0849
33.125,0.0849
33.167,0.0849
33.208,0.0849
33.25,3.0575603
33.292,51.3673866
33.333,53.8368446
33.375,53.7949606
33.417,51.325446
33.458,4.5008037
33.5,0.0849
33.542,0.0849
33.583,0.0849
33.625,0.0849
33.667,0.0849
33.708,3.9923376
33.75,51.5438937
33.792,53.8871903
33.833,51.5281023
33.875,3.1833255
33.917,0.0849
33.958,0.0849
34,0.0849
34.042,0.0849
34.083,0.0849
34.125,0.0849
34.167,0.0849
34.208,0.0849
34.25,0.0849
34.292,0.0849
34.333,0.0849
34.375,0.0849
34.417,0.0849
34.458,0.0849
34.5,0.0849
34.542,0.0849
34.583,0.0849
34.625,0.0849
34.667,6.1044515
34.708,51.4337501
34.75,53.7311724
34.792,53.7358985
34.833,53.8009036
34.875,53.8157045
34.917,53.7855367
34.958,53.8041581
35,51.4183549
35.042,3.1897213
35.083,0.0849
35.125,0.0849
35.167,0.0849
35.208,0.0849
35.25,0.0849
35.292,0.0849
35.333,0.0849
35.375,0.0849
35.417,0.0849
35.458,0.0849
35.5,0.0849
35.542,0.0849
35.583,0.0849
35.625,0.0849
35.667,6.1447224
35.708,51.3796971
35.75,53.8310431
35.792,53.7530766
35.833,53.7086739
35.875,53.8064787
35.917,51.4207887
35.958,3.3001196
36,0.0849
36.042,0.0849
36.083,0.0849
36.125,0.0849
36.167,0.0849
36.208,0.0849
36.25,0.0849
36.292,0.0849
36.333,0.0849
36.375,0.0849
36.417,0.0849
36.458,0.0849
36.5,0.0849
36.542,0.0849
36.583,0.0849
36.625,0.0849
36.667,3.1117831
36.708,51.2063596
36.75,53.686798
36.792,53.9363757
36.833,53.674346
36.875,53.6487628
36.917,53.8839075
36.958,53.6132463
37,51.316107
37.042,3.9622264
37.083,0.0849
37.125,0.0849
37.167,0.0849
37.208,0.0849
37.25,0.0849
37.292,0.0849
37.333,0.0849
37.375,0.0849
37.417,0.0849
37.458,0.0849
37.5,0.0849
37.542,0.0849
37.583,0.0849
37.625,2.8572812
37.667,51.2633275
37.708,53.7042591
37.75,53.6880432
37.792,53.7824237
37.833,53.8024318
37.875,53.742549
37.917,53.688496
37.958,53.7490297
38,49.5946746
38.042,3.915588
38.083,0.0849
38.125,0.0849
38.167,0.0849
38.208,0.0849
38.25,0.0849
38.292,0.0849
38.333,0.0849
38.375,0.0849
38.417,0.0849
38.458,0.0849
38.5,0.0849
38.542,0.0849
38.583,0.0849
38.625,0.0849
38.667,0.0849
38.708,0.0849
38.75,1.5947899
38.792,3.0442593
38.833,51.5105846
38.875,53.762642
38.917,51.2270469
38.958,4.8065569
39,0.0849
39.042,0.0849
39.083,0.0849
39.125,0.0849
39.167,0.0849
39.208,0.0849
39.25,0.0849
39.292,0.0849
39.333,0.0849
39.375,0.0849
39.417,0.0849
39.458,0.0849
39.5,0.0849
39.542,3.109604
39.583,51.3710373
39.625,53.6819021
39.667,53.699816
39.708,53.7582555
39.75,53.7547746
39.792,53.7366909
39.833,53.724437
39.875,53.6520456
39.917,51.440627
39.958,3.2345485
40,0.0849
40.042,0.0849
40.083,0.0849
40.125,0.0849
40.167,0.0849
40.208,0.0849
40.25,0.0849
40.292,0.0849
40.333,0.0849
40.375,0.0849
40.417,0.0849
40.458,0.0849
40.5,2.7968324
40.542,51.2686762
40.583,53.6762138
40.625,53.9318194
40.667,53.6417444
40.708,53.7359834
40.75,53.8357975
40.792,53.8529756
40.833,53.3339536
40.875,43.9139024
40.917,41.8244851
40.958,2.8154538
41,0.0849
41.042,0.0849
41.083,0.0849
41.125,0.0849
41.167,0.0849
41.208,0.0849
41.25,0.0849
41.292,0.0849
41.333,0.0849
41.375,0.0849
41.417,0.0849
41.458,0.0849
41.5,0.1735922
41.542,23.1926141
41.583,24.7012588
41.625,48.3840289
41.667,49.964216
41.708,49.8534781
41.75,49.8115941
41.792,49.6459259
41.833,49.9204925
41.875,49.6485295
41.917,49.5600637
41.958,5.3921688
42,0.0849
42.042,0.0849
42.083,0.0849
42.125,0.0849
42.167,0.0849
42.208,0.0849
42.25,0.0849
42.292,0.0849
42.333,0.0849
42.375,0.0849
42.417,0.0849
42.458,0.0849
42.5,0.0958804
42.542,51.5974939
42.583,53.6869961
42.625,53.7853386
42.667,53.7659814
42.708,53.7746412
42.75,53.7438508
42.792,53.7017687
42.833,53.7456903
42.875,53.7298706
42.917,52.2585819
42.958,26.8771609
43,20.1217811
43.042,3.4694668
43.083,0.0849
43.125,0.0849
43.167,0.0849
43.208,0.0849
43.25,0.0849
43.292,0.0849
43.333,0.0849
43.375,0.0849
43.417,0.0849
43.458,1.5217193
43.5,15.470478
43.542,15.8614991
43.583,23.2174332
43.625,23.5967381
43.667,24.8048651
43.708,52.2299706
43.75,53.7488033
43.792,53.760661
43.833,53.7625854
43.875,51.295731
43.917,3.4368086
43.958,0.0849
44,0.0849
44.042,0.0849
44.083,0.0849
44.125,0.0849
44.167,0.0849
44.208,0.0849
44.25,0.0849
44.292,0.0849
44.333,0.0849
44.375,0.0849
44.417,0.0849
44.458,0.0849
44.5,0.0849
44.542,0.0849
44.583,0.0849
44.625,0.0849
44.667,0.2488702
44.708,5.1346954
44.75,51.5670997
44.792,53.59737
44.833,51.3761313
44.875,4.0802091
44.917,0.0849
44.958,0.0849
45,0.0849
45.042,0.0849
45.083,0.0849
45.125,0.0849
45.167,0.0849
45.208,0.0849
45.25,0.0849
45.292,0.0849
45.333,0.0849
45.375,0.0849
45.417,0.0849
45.458,0.0849
45.5,0.0849
45.542,0.0849
45.583,0.0849
45.625,0.0849
45.667,0.0849
45.708,51.3544252
45.75,51.3544252
45.792,53.7134566
45.833,53.7098342
45.875,53.7281726
45.917,51.3058907
45.958,3.2894222
46,0.0849
46.042,0.0849
46.083,0.0849
46.125,0.0849
46.167,0.0849
46.208,0.0849
46.25,0.0849
46.292,0.0849
46.333,0.0849
46.375,0.0849
46.417,0.0849
46.458,0.0849
46.5,0.0849
46.542,0.0849
46.583,0.0849
46.625,3.1135943
46.667,51.3693959
46.708,53.4193913
46.75,53.6293207
46.792,53.6521022
46.833,53.6257832
46.875,53.7090984
46.917,51.3123997
46.958,3.216012
47,0.0849
47.042,0.0849
47.083,0.0849
47.125,0.0849
47.167,0.0849
47.208,0.0849
47.25,0.0849
47.292,0.0849
47.333,0.0849
47.375,0.0849
47.417,0.0849
47.458,0.0849
47.5,0.0849
47.542,0.0849
47.583,0.0849
47.625,2.9289368
47.667,51.3096829
47.708,53.6232362
47.75,53.662743
47.792,53.5625044
47.833,53.7861593
47.875,53.769151
47.917,51.1303175
47.958,3.5837422
48,0.0849
48.042,0.0849
48.083,0.0849
48.125,0.0849
48.167,0.0849
48.208,0.0849
48.25,0.0849
48.292,0.0849
48.333,0.0849
48.375,0.0849
48.417,0.0849
48.458,0.0849
48.5,0.0849
48.542,0.0849
48.583,0.0849
48.625,2.7035273
48.667,42.0008224
48.708,53.1773414
48.75,53.6777703
48.792,53.6832322
48.833,53.6827228
48.875,53.7136264
48.917,51.2971177
48.958,3.3225898
49,0.1335477
49.042,0.0849
49.083,0.0849
49.125,0.0849
49.167,0.0849
49.208,0.0849
49.25,0.0849
49.292,0.0849
49.333,0.0849
49.375,0.0849
49.417,0.0849
49.458,0.0849
49.5,0.0849
49.542,0.0849
49.583,0.0849
49.625,0.0849
49.667,0.0849
49.708,3.0080919
49.75,51.4048841
49.792,53.6172366
49.833,53.6941277
49.875,53.6572811
49.917,51.3893191
49.958,3.1006895
50,0.0849
50.042,0.0849
50.083,0.0849
50.125,0.0849
50.167,0.0849
50.208,0.0849
50.25,0.0849
50.292,0.0849
50.333,0.0849
50.375,0.0849
50.417,0.0849
50.458,0.0849
50.5,0.0849
50.542,0.0849
50.583,2.5851484
50.625,42.3344511
50.667,53.2324415
50.708,53.7011744
50.75,53.7156357
50.792,53.6857226
50.833,53.7081928
50.875,51.3157108
50.917,3.3881609
50.958,0.0849
51,0.0849
51.042,0.0849
51.083,0.0849
51.125,0.0849
51.167,0.0849
51.208,0.0849
51.25,0.0849
51.292,0.0849
51.333,0.0849
51.375,0.0849
51.417,0.0849
51.458,0.0849
51.5,0.0849
51.542,0.0849
51.583,0.0849
51.625,2.7035556
51.667,42.0634786
51.708,53.2280833
51.75,53.6314998
51.792,53.738587
51.833,53.7839236
51.875,53.6590074
51.917,51.2546677
51.958,3.9317756
52,0.0849
52.042,0.0849
52.083,0.0849
52.125,0.0849
52.167,0.0849
52.208,0.0849
52.25,0.0849
52.292,0.0849
52.333,0.0849
52.375,0.0849
52.417,0.0849
52.458,0.0849
52.5,0.0849
52.542,0.0849
52.583,3.7631925
52.625,51.3309928
52.667,53.6565453
52.708,53.6801475
52.75,53.6356599
52.792,53.7383889
52.833,53.7604063
52.875,53.737172
52.917,51.282713
52.958,3.6929519
53,0.0849
53.042,0.0849
53.083,0.0849
53.125,0.0849
53.167,0.0849
53.208,0.0849
53.25,0.0849
53.292,0.0849
53.333,0.0849
53.375,0.0849
53.417,0.0849
53.458,0.0849
53.5,0.0849
53.542,0.0849
53.583,0.0849
53.625,2.9431434
53.667,51.3543686
53.708,53.6416312
53.75,53.7121831
53.792,53.7513503
53.833,53.6773741
53.875,53.7509258
53.917,51.3249083
53.958,4.7489381
54,4.2926855
54.042,22.6832424
54.083,17.8541021
54.125,16.1002662
54.167,23.3471604
54.208,23.603332
54.25,23.6278681
54.292,23.0133619
54.333,2.5018049
54.375,0.0849
54.417,0.0849
54.458,0.0849
54.5,0.0849
54.542,0.0849
54.583,0.0849
54.625,0.0849
54.667,0.0849
54.708,3.0705783
54.75,51.4893879
54.792,53.6037658
54.833,53.8227795
54.875,52.2676662
54.917,24.0330109
54.958,3.8235564
55,0.0849
55.042,0.0849
55.083,0.0849
55.125,0.0849
55.167,0.0849
55.208,0.0849
55.25,0.0849
55.292,0.0849
55.333,0.0849
55.375,0.0849
55.417,0.0849
55.458,0.0849
55.5,0.0849
55.542,0.0849
55.583,2.7019142
55.625,51.3513971
55.667,53.6826945
55.708,53.663592
55.75,53.7007782
55.792,53.6997028
55.833,53.7025045
55.875,53.7252577
55.917,51.4023654
55.958,3.219125
56,9.1378719
56.042,2.8290944
56.083,0.0849
56.125,0.0849
56.167,0.0849
56.208,0.0849
56.25,2.9313989
56.292,51.3767256
56.333,53.5845784
56.375,53.9282819
56.417,53.708306
56.458,53.6382352
56.5,53.758114
56.542,53.9022742
56.583,53.6475459
56.625,48.2513302
56.667,49.2757619
56.708,53.8409764
56.75,53.657932
56.792,49.0664551
56.833,52.6610645
56.875,53.8888883
56.917,47.7349967
56.958,3.4457231
57,0.0849
57.042,0.0849
57.083,0.0849
57.125,0.0849
57.167,0.0849
57.208,0.0849
57.25,0.0849
57.292,0.0849
57.333,0.0849
57.375,0.0849
57.417,0.0849
57.458,0.0849
57.5,0.0849
57.542,0.0849
57.583,0.0849
57.625,0.0849
57.667,2.9150698
57.708,51.471474
57.75,53.5366099
57.792,53.9520256
57.833,51.3999316
57.875,3.2631315
57.917,0.0849
57.958,0.0849
58,0.0849
58.042,0.0849
58.083,0.0849
58.125,0.0849
58.167,0.0849
58.208,0.0849
58.25,0.0849
58.292,0.0849
58.333,0.0849
58.375,0.0849
58.417,0.0849
58.458,0.0849
58.5,0.0849
58.542,0.0849
58.583,0.0849
58.625,0.0849
58.667,0.0849
58.708,2.7782676
58.75,51.4508716
58.792,53.7120982
58.833,53.5546653
58.875,53.9158016
58.917,51.3374452
58.958,3.1880516
59,0.0849
59.042,0.0849
59.083,0.0849
59.125,0.0849
59.167,0.0849
59.208,0.0849
59.25,0.0849
59.292,0.0849
59.333,0.0849
59.375,0.0849
59.417,0.0849
59.458,0.0849
59.5,0.0849
59.542,0.0849
59.583,0.0849
59.625,0.2430404
59.667,0.0849
59.708,0.0849
59.75,0.0849
59.792,8.0375113
59.833,51.010184
59.875,53.1942648
59.917,50.8083767
59.958,3.2016073
60,0.0849
60.042,0.0849
60.083,0.0849
60.125,0.0849
60.167,0.0849
60.208,0.0849
60.25,0.0849
60.292,0.0849
60.333,0.0849
60.375,0.0849
60.417,0.0849
60.458,0.0849
60.5,0.0849
60.542,0.0849
60.583,0.0849
60.625,0.0849
60.667,0.0849
60.708,3.78371
60.75,51.0208248
60.792,53.0976486
60.833,53.3826013
60.875,53.1974344
60.917,51.0242491
60.958,4.2836861
61,0.0849
61.042,0.0849
61.083,0.0849
61.125,0.0849
61.167,0.0849
61.208,0.0849
61.25,0.0849
61.292,0.0849
61.333,0.0849
61.375,0.0849
61.417,0.0849
61.458,0.0849
61.5,0.0849
61.542,0.0849
61.583,0.0849
61.625,0.0849
61.667,0.0849
61.708,3.0704368
61.75,50.9180675
61.792,53.3183886
61.833,53.3331046
61.875,53.2866643
61.917,52.9370744
61.958,46.5357842
62,3.0481081
62.042,0.0849
62.083,0.0849
62.125,0.0849
62.167,0.0849
62.208,0.0849
62.25,0.0849
62.292,0.0849
62.333,0.0849
62.375,0.0849
62.417,0.0849
62.458,0.0849
62.5,0.0849
62.542,0.0849
62.583,2.9595574
62.625,51.079236
62.667,53.3520656
62.708,51.4243545
62.75,17.8589414
62.792,51.4161475
62.833,53.3298218
62.875,53.3112004
62.917,50.9073701
62.958,3.210069
63,0.0849
63.042,0.0849
63.083,0.0849
63.125,0.0849
63.167,0.0849
63.208,0.0849
63.25,0.0849
63.292,0.0849
63.333,0.0849
63.375,0.0849
63.417,0.0849
63.458,0.0849
63.5,0.0849
