$inflow Tw for qdt Tw year 2019 YC 03/13/2023,
7.208,8.095
7.25,8.12
7.292,8.17
7.333,8.145
7.375,8.145
7.417,8.195
7.458,8.245
7.5,8.295
7.542,8.493888889
7.583,8.27
7.625,8.295
7.667,8.195
7.708,8.095
7.75,8.12
7.792,8.12
7.833,8.12
7.875,8.145
7.917,8.195
7.958,8.195
8,8.245
8.042,8.22
8.083,8.22
8.125,8.245
8.167,8.245
8.208,8.295
8.25,8.245
8.292,8.22
8.333,8.245
8.375,8.27
8.417,8.245
8.458,8.245
8.5,8.245
8.542,8.245
8.583,8.245
8.625,8.195
8.667,8.195
8.708,8.195
8.75,8.145
8.792,8.17
8.833,8.145
8.875,8.145
8.917,8.245
8.958,8.27
9,8.27
9.042,8.295
9.083,8.295
9.125,8.295
9.167,8.318888889
9.208,8.318888889
9.25,8.318888889
9.292,8.318888889
9.333,8.318888889
9.375,8.343888889
9.417,8.368888889
9.458,8.393888889
9.5,8.393888889
9.542,8.393888889
9.583,8.443888889
9.625,8.443888889
9.667,8.418888889
9.708,8.443888889
9.75,8.245
9.792,8.045
9.833,8.045
9.875,8.045
9.917,8.145
9.958,8.195
10,8.195
10.042,8.195
10.083,8.22
10.125,8.245
10.167,8.245
10.208,8.245
10.25,8.27
10.292,8.245
10.333,8.27
10.375,8.295
10.417,8.295
10.458,8.318888889
10.5,8.468888889
10.542,8.518888889
10.583,8.493888889
10.625,8.443888889
10.667,8.393888889
10.708,8.22
10.75,8.07
10.792,8.07
10.833,8.045
10.875,8.12
10.917,8.145
10.958,8.17
11,8.17
11.042,8.095
11.083,8.145
11.125,8.17
11.167,8.17
11.208,8.17
11.25,8.145
11.292,8.145
11.333,8.17
11.375,8.145
11.417,8.17
11.458,8.245
11.5,8.468888889
11.542,8.343888889
11.583,8.393888889
11.625,8.368888889
11.667,8.343888889
11.708,8.22
11.75,8.045
11.792,8.045
11.833,8.045
11.875,8.07
11.917,8.07
11.958,8.17
12,8.195
12.042,8.195
12.083,8.195
12.125,8.17
12.167,8.195
12.208,8.17
12.25,8.195
12.292,8.17
12.333,8.195
12.375,8.22
12.417,8.27
12.458,8.27
12.5,8.592777778
12.542,8.841111111
12.583,8.542777778
12.625,8.245
12.667,8.045
12.708,8.045
12.75,8.02
12.792,8.045
12.833,8.02
12.875,8.02
12.917,8.02
12.958,8.02
13,8.095
13.042,8.095
13.083,8.12
13.125,8.145
13.167,8.12
13.208,8.145
13.25,8.095
13.292,8.145
13.333,8.12
13.375,8.17
13.417,8.145
13.458,8.195
13.5,8.493888889
13.542,8.518888889
13.583,8.542777778
13.625,8.493888889
13.667,8.393888889
13.708,8.195
13.75,8.02
13.792,8.02
13.833,8.02
13.875,8.045
13.917,8.07
13.958,8.02
14,8.07
14.042,8.045
14.083,8.02
14.125,7.995
14.167,8.045
14.208,7.995
14.25,7.995
14.292,8.045
14.333,8.02
14.375,7.97
14.417,8.07
14.458,8.12
14.5,8.368888889
14.542,8.295
14.583,8.295
14.625,8.27
14.667,8.17
14.708,8.045
14.75,8.045
14.792,8.045
14.833,8.045
14.875,8.045
14.917,8.145
14.958,8.145
15,8.17
15.042,8.17
15.083,8.195
15.125,8.22
15.167,8.195
15.208,8.195
15.25,8.22
15.292,8.195
15.333,8.245
15.375,8.245
15.417,8.245
15.458,8.22
15.5,8.22
15.542,8.245
15.583,8.27
15.625,8.245
15.667,8.245
15.708,8.17
15.75,7.97
15.792,7.995
15.833,7.995
15.875,8.095
15.917,8.07
15.958,8.095
16,8.12
16.042,8.095
16.083,8.12
16.125,8.095
16.167,8.145
16.208,8.195
16.25,8.941111111
16.292,8.17
16.333,8.17
16.375,8.17
16.417,8.145
16.458,8.195
16.5,8.17
16.542,8.145
16.583,8.17
16.625,8.195
16.667,8.195
16.708,8.12
16.75,7.945
16.792,7.945
16.833,7.945
16.875,7.945
16.917,7.995
16.958,7.995
17,8.07
17.042,8.07
17.083,8.12
17.125,8.095
17.167,8.095
17.208,8.145
17.25,8.145
17.292,8.145
17.333,8.12
17.375,8.27
17.417,8.195
17.458,8.245
17.5,8.318888889
17.542,8.393888889
17.583,8.195
17.625,7.92
17.667,7.895
17.708,7.945
17.75,7.945
17.792,7.92
17.833,7.845
17.875,7.895
17.917,7.945
17.958,7.995
18,8.045
18.042,8.095
18.083,8.095
18.125,8.07
18.167,8.07
18.208,8.07
18.25,7.97
18.292,7.92
18.333,7.945
18.375,7.945
18.417,7.945
18.458,7.97
18.5,7.97
18.542,7.97
18.583,7.97
18.625,7.92
18.667,7.995
18.708,7.945
18.75,8.02
18.792,8.02
18.833,7.995
18.875,8.045
18.917,8.045
18.958,8.045
19,8.02
19.042,8.02
19.083,8.02
19.125,8.045
19.167,8.02
19.208,8.045
19.25,8.07
19.292,8.045
19.333,8.045
19.375,8.045
19.417,8.095
19.458,8.045
19.5,8.07
19.542,8.07
19.583,8.045
19.625,8.02
19.667,8.095
19.708,8.12
19.75,7.995
19.792,7.97
19.833,7.97
19.875,7.97
19.917,8.02
19.958,7.995
20,7.995
20.042,8.045
20.083,8.095
20.125,8.22
20.167,8.245
20.208,8.318888889
20.25,8.295
20.292,8.245
20.333,8.245
20.375,8.393888889
20.417,8.393888889
20.458,8.418888889
20.5,8.841111111
20.542,8.343888889
20.583,8.245
20.625,8.07
20.667,7.845
20.708,7.82
20.75,7.87
20.792,7.87
20.833,7.87
20.875,7.87
20.917,7.87
20.958,7.845
21,7.845
21.042,7.87
21.083,7.92
21.125,7.945
21.167,8.343888889
21.208,7.995
21.25,8.393888889
21.292,8.045
21.333,7.97
21.375,8.07
21.417,8.045
21.458,8.295
21.5,8.343888889
21.542,8.692777778
21.583,8.742222222
21.625,8.443888889
21.667,8.866111111
21.708,8.245
21.75,7.845
21.792,7.845
21.833,7.87
21.875,7.845
21.917,7.895
21.958,7.895
22,7.895
22.042,7.87
22.083,7.87
22.125,7.845
22.167,7.845
22.208,7.87
22.25,7.92
22.292,7.945
22.333,7.97
22.375,8.17
22.417,8.145
22.458,8.27
22.5,8.295
22.542,8.245
22.583,8.295
22.625,8.27
22.667,8.295
22.708,8.418888889
22.75,8.368888889
22.792,8.27
22.833,8.318888889
22.875,8.343888889
22.917,8.295
22.958,8.295
23,8.245
23.042,8.318888889
23.083,8.245
23.125,8.245
23.167,8.22
23.208,8.245
23.25,8.27
23.292,8.22
23.333,8.195
23.375,8.245
23.417,8.368888889
23.458,8.27
23.5,8.518888889
23.542,8.667777778
23.583,8.468888889
23.625,8.295
23.667,8.195
23.708,8.045
23.75,7.845
23.792,7.845
23.833,7.845
23.875,7.845
23.917,7.945
23.958,7.945
24,7.945
24.042,7.945
24.083,8.17
24.125,8.045
24.167,8.045
24.208,7.995
24.25,7.995
24.292,7.995
24.333,8.045
24.375,8.045
24.417,8.07
24.458,8.145
24.5,8.368888889
24.542,8.493888889
24.583,8.343888889
24.625,8.393888889
24.667,8.692777778
24.708,8.17
24.75,7.795
24.792,7.795
24.833,7.795
24.875,7.795
24.917,7.87
24.958,7.895
25,7.92
25.042,7.92
25.083,7.97
25.125,7.895
25.167,7.945
25.208,7.895
25.25,7.87
25.292,7.87
25.333,7.895
25.375,7.945
25.417,7.995
25.458,8.02
25.5,8.542777778
25.542,8.742222222
25.583,8.692777778
25.625,8.891111111
25.667,9.063888889
25.708,8.12
25.75,7.77
25.792,7.77
25.833,7.77
25.875,7.77
25.917,7.795
25.958,7.845
26,7.92
26.042,7.895
26.083,7.895
26.125,7.92
26.167,7.92
26.208,7.845
26.25,7.87
26.292,7.845
26.333,7.92
26.375,7.92
26.417,7.995
26.458,8.045
26.5,8.22
26.542,8.368888889
26.583,8.493888889
26.625,8.443888889
26.667,8.542777778
26.708,8.02
26.75,7.745
26.792,7.745
26.833,7.745
26.875,7.745
26.917,7.845
26.958,7.845
27,7.87
27.042,7.895
27.083,7.895
27.125,7.92
27.167,7.92
27.208,7.945
27.25,7.87
27.292,7.795
27.333,7.77
27.375,7.77
27.417,7.77
27.458,7.77
27.5,7.82
27.542,7.795
27.583,7.795
27.625,7.795
27.667,7.795
27.708,7.795
27.75,7.87
27.792,7.895
27.833,7.895
27.875,7.92
27.917,7.895
27.958,7.92
28,7.92
28.042,7.92
28.083,7.92
28.125,7.92
28.167,7.945
28.208,7.92
28.25,7.92
28.292,7.895
28.333,7.795
28.375,7.72
28.417,7.72
28.458,7.72
28.5,7.745
28.542,7.945
28.583,7.97
28.625,7.97
28.667,8.07
28.708,8.095
28.75,8.045
28.792,7.995
28.833,7.97
28.875,7.995
28.917,7.97
28.958,7.97
29,7.97
29.042,7.995
29.083,7.995
29.125,8.02
29.167,8.045
29.208,7.995
29.25,8.045
29.292,8.02
29.333,8.045
29.375,8.02
29.417,8.045
29.458,8.22
29.5,8.295
29.542,8.468888889
29.583,8.518888889
29.625,8.343888889
29.667,8.493888889
29.708,8.045
29.75,7.695
29.792,7.695
29.833,7.695
29.875,7.695
29.917,7.77
29.958,7.77
30,7.795
30.042,7.845
30.083,7.82
30.125,7.87
30.167,7.87
30.208,7.895
30.25,7.895
30.292,7.895
30.333,7.895
30.375,7.895
30.417,7.945
30.458,8.045
30.5,8.343888889
30.542,8.692777778
30.583,8.418888889
30.625,8.542777778
30.667,8.145
30.708,7.97
30.75,7.695
30.792,7.695
30.833,7.695
30.875,7.695
30.917,7.795
30.958,7.82
31,7.795
31.042,7.82
31.083,7.795
31.125,7.795
31.167,7.82
31.208,7.845
31.25,7.87
31.292,7.82
31.333,7.82
31.375,7.845
31.417,7.895
31.458,7.97
31.5,8.195
31.542,8.368888889
31.583,8.767222222
31.625,9.386111111
31.667,10.075
31.708,8.045
31.75,7.695
31.792,7.695
31.833,7.695
31.875,7.695
31.917,7.72
31.958,7.745
32,7.795
32.042,7.845
32.083,7.845
32.125,7.845
32.167,7.895
32.208,7.895
32.25,7.895
32.292,7.92
32.333,7.92
32.375,7.945
32.417,7.945
32.458,7.97
32.5,7.845
32.542,7.67
32.583,7.67
32.625,7.67
32.667,7.67
32.708,7.645
32.75,7.645
32.792,7.645
32.833,7.645
32.875,7.745
32.917,7.77
32.958,7.795
33,7.795
33.042,7.82
33.083,7.795
33.125,7.845
33.167,7.845
33.208,7.845
33.25,7.845
33.292,7.87
33.333,7.845
33.375,7.87
33.417,7.895
33.458,7.92
33.5,7.945
33.542,7.845
33.583,7.77
33.625,7.72
33.667,7.72
33.708,7.72
33.75,7.695
33.792,7.695
33.833,7.695
33.875,7.695
33.917,7.795
33.958,7.82
34,7.87
34.042,7.895
34.083,7.895
34.125,7.895
34.167,7.845
34.208,7.87
34.25,7.895
34.292,7.87
34.333,7.895
34.375,7.92
34.417,7.945
34.458,7.995
34.5,8.045
34.542,8.145
34.583,8.12
34.625,8.07
34.667,7.895
34.708,7.645
34.75,7.645
34.792,7.645
34.833,7.645
34.875,7.618888889
34.917,7.645
34.958,7.745
35,7.795
35.042,7.795
35.083,7.795
35.125,7.795
35.167,7.795
35.208,7.845
35.25,7.82
35.292,7.87
35.333,7.895
35.375,7.87
35.417,7.895
35.458,7.92
35.5,7.97
35.542,8.07
35.583,8.095
35.625,8.095
35.667,8.12
35.708,7.845
35.75,7.593888889
35.792,7.593888889
35.833,7.593888889
35.875,7.618888889
35.917,7.618888889
35.958,7.618888889
36,7.695
36.042,7.745
36.083,7.695
36.125,7.645
36.167,7.695
36.208,7.745
36.25,7.745
36.292,7.745
36.333,7.695
36.375,7.745
36.417,7.82
36.458,8.12
36.5,8.17
36.542,8.195
36.583,8.22
36.625,8.318888889
36.667,8.195
36.708,7.895
36.75,7.67
36.792,7.695
36.833,7.695
36.875,7.695
36.917,7.695
36.958,7.72
37,7.745
37.042,7.77
37.083,7.77
37.125,7.77
37.167,7.795
37.208,7.77
37.25,7.795
37.292,7.77
37.333,7.795
37.375,7.795
37.417,7.795
37.458,7.87
37.5,7.945
37.542,8.393888889
37.583,8.245
37.625,8.12
37.667,8.12
37.708,7.895
37.75,7.645
37.792,7.618888889
37.833,7.618888889
37.875,7.67
37.917,7.695
37.958,7.745
38,7.745
38.042,7.72
38.083,7.745
38.125,7.77
38.167,7.77
38.208,7.745
38.25,7.77
38.292,7.745
38.333,7.72
38.375,7.67
38.417,7.618888889
38.458,7.695
38.5,7.72
38.542,7.72
38.583,7.695
38.625,7.645
38.667,7.645
38.708,7.645
38.75,7.67
38.792,7.745
38.833,7.745
38.875,7.745
38.917,7.72
38.958,7.72
39,7.72
39.042,7.695
39.083,7.745
39.125,7.745
39.167,7.795
39.208,7.77
39.25,7.72
39.292,7.745
39.333,7.745
39.375,7.618888889
39.417,7.645
39.458,7.745
39.5,7.87
39.542,7.87
39.583,7.92
39.625,7.92
39.667,7.895
39.708,7.895
39.75,7.795
39.792,7.645
39.833,7.645
39.875,7.695
39.917,7.72
39.958,7.72
40,7.745
40.042,7.72
40.083,7.77
40.125,7.795
40.167,7.745
40.208,7.77
40.25,7.72
40.292,7.745
40.333,7.77
40.375,7.77
40.417,7.82
40.458,7.845
40.5,7.87
40.542,7.87
40.583,8.095
40.625,7.995
40.667,7.97
40.708,7.92
40.75,7.82
40.792,7.568888889
40.833,7.568888889
40.875,7.593888889
40.917,7.645
40.958,7.645
41,7.645
41.042,7.645
41.083,7.645
41.125,7.67
41.167,7.695
41.208,7.695
41.25,7.695
41.292,7.67
41.333,7.67
41.375,7.72
41.417,7.745
41.458,7.845
41.5,7.795
41.542,7.845
41.583,8.145
41.625,8.07
41.667,8.045
41.708,7.77
41.75,7.568888889
41.792,7.568888889
41.833,7.568888889
41.875,7.593888889
41.917,7.593888889
41.958,7.645
42,7.645
42.042,7.67
42.083,7.695
42.125,7.72
42.167,7.67
42.208,7.695
42.25,7.695
42.292,7.67
42.333,7.695
42.375,7.745
42.417,7.795
42.458,7.92
42.5,7.92
42.542,7.895
42.583,7.87
42.625,7.895
42.667,7.87
42.708,7.745
42.75,7.568888889
42.792,7.568888889
42.833,7.568888889
42.875,7.568888889
42.917,7.645
42.958,7.72
43,7.72
43.042,7.72
43.083,7.745
43.125,7.72
43.167,7.745
43.208,7.745
43.25,7.745
43.292,7.745
43.333,7.745
43.375,7.77
43.417,7.77
43.458,7.77
43.5,7.82
43.542,7.82
43.583,7.795
43.625,7.745
43.667,7.77
43.708,7.695
43.75,7.518888889
43.792,7.518888889
43.833,7.518888889
43.875,7.518888889
43.917,7.518888889
43.958,7.568888889
44,7.568888889
44.042,7.493888889
44.083,7.518888889
44.125,7.468888889
44.167,7.468888889
44.208,7.493888889
44.25,7.468888889
44.292,7.518888889
44.333,7.443888889
44.375,7.493888889
44.417,7.593888889
44.458,7.593888889
44.5,7.593888889
44.542,7.543888889
44.583,7.593888889
44.625,7.593888889
44.667,7.618888889
44.708,7.568888889
44.75,7.543888889
44.792,7.418888889
44.833,7.418888889
44.875,7.443888889
44.917,7.468888889
44.958,7.493888889
45,7.443888889
45.042,7.518888889
45.083,7.468888889
45.125,7.443888889
45.167,7.493888889
45.208,7.493888889
45.25,7.468888889
45.292,7.468888889
45.333,7.543888889
45.375,7.593888889
45.417,7.618888889
45.458,7.645
45.5,7.695
45.542,8.195
45.583,7.845
45.625,7.945
45.667,8.095
45.708,7.695
45.75,7.392777778
45.792,7.392777778
45.833,7.392777778
45.875,7.418888889
45.917,7.443888889
45.958,7.468888889
46,7.618888889
46.042,7.593888889
46.083,7.618888889
46.125,7.645
46.167,7.745
46.208,7.895
46.25,7.745
46.292,7.72
46.333,7.77
46.375,7.745
46.417,7.795
46.458,7.895
46.5,8.195
46.542,8.245
46.583,8.22
46.625,8.22
46.667,8.393888889
46.708,7.795
46.75,7.342777778
46.792,7.342777778
46.833,7.342777778
46.875,7.342777778
46.917,7.443888889
46.958,7.443888889
47,7.745
47.042,7.745
47.083,7.995
47.125,7.645
47.167,7.695
47.208,7.593888889
47.25,7.795
47.292,7.795
47.333,7.77
47.375,7.745
47.417,7.82
47.458,7.97
47.5,8.343888889
47.542,8.245
47.583,8.592777778
47.625,8.99
47.667,8.493888889
47.708,7.77
47.75,7.317777778
47.792,7.342777778
47.833,7.342777778
47.875,7.418888889
47.917,7.418888889
47.958,7.67
48,7.845
48.042,7.593888889
48.083,7.72
48.125,7.745
48.167,7.82
48.208,7.645
48.25,7.568888889
48.292,7.568888889
48.333,7.568888889
48.375,7.593888889
48.417,7.645
48.458,8.245
48.5,7.995
48.542,8.418888889
48.583,8.27
48.625,8.393888889
48.667,9.312222222
48.708,7.795
48.75,7.292777778
48.792,7.292777778
48.833,7.317777778
48.875,7.392777778
48.917,7.418888889
48.958,7.367777778
49,7.418888889
49.042,7.418888889
49.083,7.443888889
49.125,7.418888889
49.167,7.468888889
49.208,7.518888889
49.25,7.645
49.292,7.568888889
49.333,7.593888889
49.375,7.593888889
49.417,7.593888889
49.458,7.645
49.5,8.02
49.542,8.792222222
49.583,8.617777778
49.625,8.99
49.667,8.792222222
49.708,7.618888889
49.75,7.292777778
49.792,7.292777778
49.833,7.292777778
49.875,7.392777778
49.917,7.367777778
49.958,7.367777778
50,7.392777778
50.042,7.392777778
50.083,7.367777778
50.125,7.392777778
50.167,7.367777778
50.208,7.392777778
50.25,7.745
50.292,7.443888889
50.333,7.493888889
50.375,7.493888889
50.417,7.543888889
50.458,7.543888889
50.5,7.87
50.542,8.045
50.583,8.195
50.625,8.095
50.667,8.045
50.708,7.645
50.75,7.267777778
50.792,7.267777778
50.833,7.342777778
50.875,7.342777778
50.917,7.267777778
50.958,7.292777778
51,7.367777778
51.042,7.392777778
51.083,7.443888889
51.125,7.418888889
51.167,7.367777778
51.208,7.418888889
51.25,7.418888889
51.292,7.418888889
51.333,7.443888889
51.375,7.468888889
51.417,7.518888889
51.458,7.618888889
51.5,7.77
51.542,7.845
51.583,8.12
51.625,8.318888889
51.667,8.22
51.708,7.593888889
51.75,7.242222222
51.792,7.242222222
51.833,7.242222222
51.875,7.317777778
51.917,7.317777778
51.958,7.317777778
52,7.342777778
52.042,7.317777778
52.083,7.367777778
52.125,7.392777778
52.167,7.443888889
52.208,7.418888889
52.25,7.418888889
52.292,7.443888889
52.333,7.443888889
52.375,7.468888889
52.417,7.543888889
52.458,7.795
52.5,8.045
52.542,8.27
52.583,8.295
52.625,8.318888889
52.667,8.07
52.708,7.543888889
52.75,7.292777778
52.792,7.242222222
52.833,7.242222222
52.875,7.292777778
52.917,7.292777778
52.958,7.292777778
53,7.242222222
53.042,7.342777778
53.083,7.342777778
53.125,7.342777778
53.167,7.317777778
53.208,7.342777778
53.25,7.292777778
53.292,7.292777778
53.333,7.317777778
53.375,7.342777778
53.417,7.292777778
53.458,7.443888889
53.5,7.72
53.542,7.995
53.583,8.318888889
53.625,9.212777778
53.667,9.312222222
53.708,7.695
53.75,7.217222222
53.792,7.192222222
53.833,7.217222222
53.875,7.192222222
53.917,7.267777778
53.958,7.292777778
54,7.292777778
54.042,7.292777778
54.083,7.292777778
54.125,7.317777778
54.167,7.317777778
54.208,7.317777778
54.25,7.342777778
54.292,7.342777778
54.333,7.342777778
54.375,7.392777778
54.417,7.493888889
54.458,7.518888889
54.5,7.543888889
54.542,7.593888889
54.583,7.618888889
54.625,7.543888889
54.667,7.518888889
54.708,7.418888889
54.75,7.142222222
54.792,7.142222222
54.833,7.142222222
54.875,7.142222222
54.917,7.217222222
54.958,7.292777778
55,7.267777778
55.042,7.267777778
55.083,7.292777778
55.125,7.342777778
55.167,7.342777778
55.208,7.342777778
55.25,7.367777778
55.292,7.342777778
55.333,7.392777778
55.375,7.392777778
55.417,7.392777778
55.458,7.443888889
55.5,7.593888889
55.542,7.392777778
55.583,7.392777778
55.625,7.367777778
55.667,7.342777778
55.708,7.267777778
55.75,7.116111111
55.792,7.116111111
55.833,7.116111111
55.875,7.142222222
55.917,7.242222222
55.958,7.242222222
56,7.242222222
56.042,7.292777778
56.083,7.292777778
56.125,7.292777778
56.167,7.267777778
56.208,7.317777778
56.25,7.267777778
56.292,7.116111111
56.333,7.116111111
56.375,7.116111111
56.417,7.192222222
56.458,7.116111111
56.5,7.192222222
56.542,7.142222222
56.583,7.142222222
56.625,7.192222222
56.667,7.167222222
56.708,7.217222222
56.75,7.192222222
56.792,7.116111111
56.833,7.142222222
56.875,7.142222222
56.917,7.217222222
56.958,7.242222222
57,7.242222222
57.042,7.217222222
57.083,7.242222222
57.125,7.242222222
57.167,7.267777778
57.208,7.242222222
57.25,7.292777778
57.292,7.292777778
57.333,7.267777778
57.375,7.267777778
57.417,7.292777778
57.458,7.292777778
57.5,7.317777778
57.542,7.342777778
57.583,7.317777778
57.625,7.091111111
57.667,7.116111111
57.708,7.116111111
57.75,7.142222222
57.792,7.091111111
57.833,7.116111111
57.875,7.142222222
57.917,7.066111111
57.958,7.167222222
58,7.142222222
58.042,7.142222222
58.083,7.167222222
58.125,7.242222222
58.167,7.167222222
58.208,7.217222222
58.25,7.242222222
58.292,7.242222222
58.333,7.267777778
58.375,7.317777778
58.417,7.342777778
58.458,7.367777778
58.5,7.367777778
58.542,7.493888889
58.583,7.518888889
58.625,7.543888889
58.667,7.895
58.708,7.645
58.75,7.695
58.792,7.87
58.833,7.995
58.875,7.795
58.917,8.07
58.958,7.82
59,7.895
59.042,7.77
59.083,7.945
59.125,8.095
59.167,7.77
59.208,7.745
59.25,7.695
59.292,7.745
59.333,7.645
59.375,7.645
59.417,7.92
59.458,7.72
59.5,9.138888889
59.542,9.361111111
59.583,8.792222222
59.625,9.435
59.667,9.508888889
59.708,8.02
59.75,6.863888889
59.792,6.863888889
59.833,6.838888889
59.875,6.838888889
59.917,6.94
59.958,7.066111111
60,7.418888889
60.042,7.267777778
60.083,7.267777778
60.125,7.342777778
60.167,7.443888889
60.208,7.518888889
60.25,7.418888889
60.292,7.72
60.333,7.443888889
60.375,7.518888889
60.417,7.468888889
60.458,7.618888889
60.5,7.543888889
60.542,7.645
60.583,8.22
60.625,8.07
60.667,8.095
60.708,7.292777778
60.75,6.787777778
60.792,6.787777778
60.833,6.812777778
60.875,6.812777778
60.917,6.888888889
60.958,6.913888889
61,6.94
61.042,6.99
61.083,7.015
61.125,6.99
61.167,6.99
61.208,6.99
61.25,6.99
61.292,6.99
61.333,6.99
61.375,7.015
61.417,7.091111111
61.458,7.167222222
61.5,7.292777778
61.542,7.242222222
61.583,7.87
61.625,7.518888889
61.667,7.77
61.708,7.392777778
61.75,6.838888889
61.792,6.787777778
61.833,6.838888889
61.875,6.863888889
61.917,6.888888889
61.958,6.888888889
62,6.94
62.042,7.242222222
62.083,7.267777778
62.125,7.192222222
62.167,7.342777778
62.208,7.342777778
62.25,7.192222222
62.292,7.142222222
62.333,7.342777778
62.375,7.317777778
62.417,7.367777778
62.458,7.518888889
62.5,7.418888889
62.542,7.116111111
62.583,7.543888889
62.625,7.493888889
62.667,8.02
62.708,7.342777778
62.75,6.812777778
62.792,6.812777778
62.833,6.812777778
62.875,6.838888889
62.917,6.913888889
62.958,6.965
63,6.99
63.042,7.015
63.083,6.99
63.125,7.041111111
63.167,7.041111111
63.208,7.041111111
63.25,7.066111111
63.292,6.99
63.333,6.787777778
63.375,6.838888889
63.417,6.99
63.458,7.091111111
63.5,7.242222222
63.542,7.518888889
63.583,7.82
63.625,7.895
63.667,8.518888889
63.708,7.292777778
63.75,6.787777778
63.792,6.787777778
63.833,6.787777778
63.875,6.787777778
63.917,6.838888889
63.958,6.888888889
64,6.913888889
64.042,6.94
64.083,6.965
64.125,6.99
64.167,7.015
64.208,6.94
64.25,6.863888889
64.292,6.838888889
64.333,6.838888889
64.375,6.838888889
64.417,6.913888889
64.458,6.965
64.5,6.863888889
64.542,6.965
64.583,7.015
64.625,7.041111111
64.667,6.913888889
64.708,6.888888889
64.75,6.812777778
64.792,6.787777778
64.833,6.812777778
64.875,6.812777778
64.917,6.863888889
64.958,6.838888889
65,6.863888889
65.042,6.863888889
65.083,6.838888889
65.125,6.838888889
65.167,6.863888889
65.208,6.838888889
65.25,6.863888889
65.292,6.812777778
65.333,6.762777778
65.375,6.812777778
65.417,6.838888889
65.458,6.812777778
65.5,6.787777778
65.542,6.787777778
65.583,6.762777778
65.625,6.787777778
65.667,6.787777778
65.708,6.762777778
65.75,6.737222222
65.792,6.687222222
65.833,6.687222222
65.875,6.687222222
65.917,6.712222222
65.958,6.712222222
66,6.687222222
66.042,6.687222222
66.083,6.687222222
66.125,6.687222222
66.167,6.687222222
66.208,6.687222222
66.25,6.687222222
66.292,6.661111111
66.333,6.636111111
66.375,6.712222222
66.417,6.712222222
66.458,6.737222222
66.5,6.712222222
66.542,6.737222222
66.583,6.762777778
66.625,6.787777778
66.667,6.762777778
66.708,6.762777778
66.75,6.737222222
66.792,6.737222222
66.833,6.712222222
66.875,6.737222222
66.917,6.737222222
66.958,6.712222222
67,6.712222222
67.042,6.687222222
67.083,6.687222222
67.125,6.687222222
67.167,6.687222222
67.208,6.687222222
67.25,6.661111111
67.292,6.687222222
67.333,6.737222222
67.375,6.712222222
67.417,6.737222222
67.458,6.762777778
67.5,6.787777778
67.542,6.787777778
67.583,6.812777778
67.625,6.787777778
67.667,6.762777778
67.708,6.661111111
67.75,6.636111111
67.792,6.636111111
67.833,6.636111111
67.875,6.661111111
67.917,6.636111111
67.958,6.661111111
68,6.687222222
68.042,6.687222222
68.083,6.661111111
68.125,6.636111111
