$Lewiston Spillway release 2019 YC 06/15/22,
21.958,5.3635858
22,5.3635858
22.042,5.3635858
22.083,5.3635858
22.125,5.3635858
22.167,5.3635858
22.208,5.3635858
22.25,5.3791508
22.292,5.3777924
22.333,5.3635858
22.375,5.3635858
22.417,5.3635858
22.458,5.3635858
22.5,5.3635858
22.542,5.3635858
22.583,5.3635858
22.625,5.3635858
22.667,5.3635858
22.708,5.3635858
22.75,5.3635858
22.792,5.3635858
22.833,5.3635858
22.875,5.3635858
22.917,5.3635858
22.958,5.3635858
23,5.3487
23.042,5.3784999
23.083,5.3635858
23.125,5.3635858
23.167,5.3487
23.208,5.3784999
23.25,5.3635858
23.292,5.3635858
23.333,5.3487
23.375,5.3635858
23.417,5.3635858
23.458,5.3784999
23.5,5.3487
23.542,4.4845595
23.583,0.0283
23.625,0.0283
23.667,0.0283
23.708,0.0283
23.75,0.0283
23.792,0.0283
23.833,0.0283
23.875,0.0283
23.917,0.0283
23.958,0.0283
24,0.0283
24.042,0.0283
24.083,0.0283
24.125,0.0283
24.167,0.0283
24.208,0.0283
24.25,0.0283
24.292,0.0283
24.333,0.0283
24.375,0.0283
24.417,0.0283
24.458,0.0283
24.5,0.0283
24.542,0.0283
24.583,0.0412331
24.625,0.0343562
24.667,0.6533904
24.708,0.7245649
24.75,0.7245649
24.792,0.7245649
24.833,0.7245649
24.875,0.7245649
24.917,0.7044436
24.958,0.6061011
25,0.0825228
25.042,0.0422802
25.083,0.2294564
25.125,0.3502125
25.167,0.5776596
25.208,0.3622966
25.25,0.2817831
25.292,0.5434449
25.333,0.3361191
25.375,0.2958765
25.417,0.0283
25.458,0.0060279
25.5,0.0283
25.542,0.0283
25.583,0.0283
25.625,0.3180071
25.667,0.7024343
25.708,0.5917247
25.75,0.5172674
25.792,0.6017995
25.833,0.4367539
25.875,0.3039137
25.917,0.2093351
25.958,0.2012696
26,0.4428101
26.042,0.4206512
26.083,0.3965113
26.125,0.5011647
26.167,0.7125091
26.208,0.7205463
26.25,0.7245649
26.292,0.7560628
26.333,0.5608777
26.375,0.2058825
26.417,0.2224663
26.458,0.163291
26.5,0.1656682
26.542,0.2011564
26.583,0.1585649
26.625,0.2200891
26.667,0.411765
26.708,0.2934427
26.75,0.1727432
26.792,0.0639014
26.833,0.0213099
26.875,0.0189327
26.917,0.0283
26.958,0.0283
27,0.0283
27.042,0.0283
27.083,0.0283
27.125,0.0283
27.167,0.0283
27.208,0.0283
27.25,0.0283
27.292,0.0283
27.333,0.0283
27.375,0.0283
27.417,0.0283
27.458,0.0283
27.5,0.0283
27.542,0.0283
27.583,0.0283
27.625,0.4662142
27.667,0.8140778
27.708,0.8472171
27.75,0.8472171
27.792,0.8519432
27.833,0.8519432
27.875,0.5230123
27.917,0.0307621
27.958,0.2011564
28,0.6105725
28.042,0.411765
28.083,0.3715507
28.125,0.2129858
28.167,0.3478919
28.208,0.6342313
28.25,0.8519432
28.292,0.8519432
28.333,0.8519432
28.375,0.8519432
28.417,0.8519432
28.458,0.8519432
28.5,0.8519432
28.542,0.8519432
28.583,0.8448399
28.625,0.8188039
28.667,0.8487736
28.708,0.8409345
28.75,0.8495943
28.792,0.8519432
28.833,0.8519432
28.875,0.842491
28.917,0.842491
28.958,0.8495943
29,0.842491
29.042,0.816455
29.083,0.8022484
29.125,0.842491
29.167,0.7833157
29.208,0.8235583
29.25,0.8401138
29.292,0.8377366
29.333,0.8306616
29.375,0.842491
29.417,3.4792303
29.458,2.7900404
29.5,2.7850879
29.542,3.6430873
29.583,3.8295277
29.625,3.8295277
29.667,3.7185634
29.708,3.7132713
29.75,3.948416
29.792,3.9483877
29.833,3.9483877
29.875,3.9483877
29.917,3.9483877
29.958,3.9483877
30,3.9483877
30.042,3.9778197
30.083,3.9483877
30.125,3.9483877
30.167,3.9483877
30.208,3.948416
30.25,3.9483877
30.292,3.9483877
30.333,3.9483877
30.375,3.9483877
30.417,3.9483877
30.458,3.9483877
30.5,3.9483877
30.542,3.9483877
30.583,3.9483877
30.625,3.948416
30.667,3.948416
30.708,3.9483877
30.75,3.948416
30.792,3.948416
30.833,3.948416
30.875,3.9483877
30.917,3.9374356
30.958,3.9593681
31,3.948416
31.042,3.948416
31.083,3.9374356
31.125,3.9483877
31.167,3.9593398
31.208,3.9483877
31.25,3.9374356
31.292,3.9483877
31.333,3.9483877
31.375,3.9593398
31.417,3.9483877
31.458,3.9374356
31.5,3.9483877
31.542,3.948416
31.583,3.9483877
31.625,3.9483877
31.667,3.948416
31.708,3.948416
31.75,3.948416
31.792,3.948416
31.833,3.948416
31.875,3.948416
31.917,3.9483877
31.958,3.948416
32,3.948416
32.042,3.9483877
32.083,3.9483877
32.125,3.9483877
32.167,3.9483877
32.208,3.9483877
32.25,3.9483877
32.292,3.9483877
32.333,3.948416
32.375,3.9483877
32.417,3.9483877
32.458,3.948416
32.5,3.9483877
32.542,3.948416
32.583,3.948416
32.625,3.9483877
32.667,3.9483877
32.708,3.9483877
32.75,3.9649715
32.792,3.9926772
32.833,3.9791781
32.875,3.9784989
32.917,3.948416
32.958,3.948416
33,3.9374356
33.042,3.9593681
33.083,3.948416
33.125,3.948416
33.167,3.9374356
33.208,3.948416
33.25,3.948416
33.292,3.975584
33.333,3.9622547
33.375,3.9374356
33.417,4.009261
33.458,4.0672194
33.5,3.9622547
33.542,3.9374356
33.583,3.948416
33.625,3.948416
33.667,4.0247977
33.708,4.0393439
33.75,4.070106
33.792,4.070106
33.833,4.0390043
33.875,4.070106
33.917,4.0241468
33.958,4.0403627
34,3.9788385
34.042,3.948416
34.083,3.948416
34.125,3.9788102
34.167,3.948416
34.208,3.948416
34.25,3.948416
34.292,3.948416
34.333,3.948416
34.375,3.948416
34.417,3.948416
34.458,3.948416
34.5,3.948416
34.542,3.948416
34.583,3.948416
34.625,3.948416
34.667,3.948416
34.708,3.948416
34.75,3.948416
34.792,3.948416
34.833,3.948416
34.875,3.948416
34.917,3.9646036
34.958,3.9923376
35,4.0393439
35.042,3.9943752
35.083,4.070106
35.125,4.0121759
35.167,3.9636131
35.208,3.9735747
35.25,3.9483877
35.292,3.948416
35.333,3.9678581
35.375,3.948416
35.417,3.9593681
35.458,3.948416
35.5,3.9834231
35.542,4.070106
35.583,3.9897906
35.625,3.9513026
35.667,3.9483877
35.708,3.948416
35.75,3.9593681
35.792,3.9374073
35.833,3.948416
35.875,3.9483877
35.917,3.9483877
35.958,3.9483877
36,3.9483877
36.042,3.9483877
36.083,3.9483877
36.125,3.948416
36.167,3.948416
36.208,3.948416
36.25,3.9483877
36.292,3.948416
36.333,3.948416
36.375,3.948416
36.417,3.948416
36.458,3.948416
36.5,3.9483877
36.542,3.9483877
36.583,3.9483877
36.625,3.9483877
36.667,3.9483877
36.708,3.9483877
36.75,3.9483877
36.792,3.9483877
36.833,3.9483877
36.875,3.9483877
36.917,3.9483877
36.958,3.9483877
37,3.9483877
37.042,3.9483877
37.083,3.9483877
37.125,3.9483877
37.167,3.9483877
37.208,3.9374356
37.25,3.9593398
37.292,3.9483877
37.333,3.9483877
37.375,3.9483877
37.417,3.9374356
37.458,3.9483877
37.5,3.9593398
37.542,3.9483877
37.583,3.9374356
37.625,3.9483877
37.667,3.948416
37.708,3.9593681
37.75,3.9483877
37.792,3.9374356
37.833,3.9483877
37.875,3.9483877
37.917,3.9593398
37.958,3.9374356
38,3.9483877
38.042,3.9483877
38.083,3.9483877
38.125,3.9483877
38.167,3.9483877
38.208,3.9483877
38.25,3.9483877
38.292,3.9483877
38.333,3.9483877
38.375,3.9483877
38.417,3.9483877
38.458,3.9483877
38.5,3.9483877
38.542,3.9483877
38.583,3.9483877
38.625,3.9483877
38.667,3.9483877
38.708,3.9483877
38.75,3.9483877
38.792,3.9483877
38.833,3.9483877
38.875,3.9483877
38.917,3.9483877
38.958,3.9483877
39,3.9483877
39.042,3.9483877
39.083,3.9483877
39.125,3.9483877
39.167,3.9483877
39.208,3.9483877
39.25,3.9483877
39.292,3.9483877
39.333,3.9483877
39.375,3.9483877
39.417,3.9374356
39.458,3.9593398
39.5,3.9483877
39.542,3.9483877
39.583,3.9374356
39.625,3.9483877
39.667,3.9593398
39.708,3.9483877
39.75,3.9374356
39.792,3.9483877
39.833,3.9593398
39.875,3.9483877
39.917,3.9374356
39.958,3.9483877
40,3.9483877
40.042,3.9593398
40.083,3.9374356
40.125,3.9483877
40.167,3.9483877
40.208,3.9483877
40.25,3.9483877
40.292,3.9483877
40.333,3.9483877
40.375,3.9483877
40.417,3.9483877
40.458,3.9483877
40.5,3.9483877
40.542,3.9646319
40.583,3.9632735
40.625,3.9483877
40.667,3.9483877
40.708,3.9483877
40.75,3.9483877
40.792,3.9483877
40.833,3.9483877
40.875,3.9483877
40.917,3.9483877
40.958,3.9483877
41,3.948416
41.042,3.9483877
41.083,3.9483877
41.125,3.948416
41.167,3.948416
41.208,3.948416
41.25,3.948416
41.292,3.948416
41.333,3.948416
41.375,3.948416
41.417,3.948416
41.458,3.948416
41.5,3.948416
41.542,3.9374356
41.583,3.948416
41.625,3.9593681
41.667,3.948416
41.708,3.948416
41.75,3.9374356
41.792,3.9593681
41.833,3.948416
41.875,3.948416
41.917,3.9374356
41.958,3.948416
42,3.9593681
42.042,3.9374356
42.083,3.948416
42.125,3.948416
42.167,3.9593681
42.208,3.9374356
42.25,3.9593681
42.292,3.9374356
42.333,3.948416
42.375,3.948416
42.417,3.948416
42.458,3.948416
42.5,3.948416
42.542,3.948416
42.583,3.948416
42.625,3.948416
42.667,3.948416
42.708,3.948416
42.75,3.948416
42.792,3.948416
42.833,3.948416
42.875,3.948416
42.917,3.948416
42.958,3.948416
43,3.948416
43.042,3.948416
43.083,3.948416
43.125,3.948416
43.167,3.948416
43.208,3.948416
43.25,3.948416
43.292,3.948416
43.333,3.948416
43.375,3.948416
43.417,3.948416
43.458,3.948416
43.5,3.948416
43.542,3.948416
43.583,3.948416
43.625,3.948416
43.667,3.948416
43.708,3.948416
43.75,3.9374356
43.792,3.9593681
43.833,3.948416
43.875,3.948416
43.917,3.9681977
43.958,3.9950544
44,4.081426
44.042,3.9927055
44.083,3.8059538
44.125,4.1309793
44.167,4.1588265
44.208,4.1196593
44.25,4.0846522
44.292,4.1726935
44.333,4.1475348
44.375,4.1037547
44.417,4.070106
44.458,4.070106
44.5,4.070106
44.542,4.070106
44.583,4.070106
44.625,4.070106
44.667,4.070106
44.708,4.070106
44.75,4.1468556
44.792,4.1762593
44.833,4.1468556
44.875,4.1918243
44.917,4.1918243
44.958,4.1918243
45,4.299619
45.042,4.3135143
45.083,4.3135143
45.125,4.3135143
45.167,4.2364251
45.208,4.1918243
45.25,4.1918243
45.292,4.1918243
45.333,4.1918243
45.375,4.2083515
45.417,4.2066818
45.458,4.1755801
45.5,4.070106
45.542,4.070106
45.583,4.070106
45.625,4.1008681
45.667,4.0396835
45.708,4.070106
45.75,4.070106
45.792,4.070106
45.833,4.070106
45.875,4.1306114
45.917,4.1662977
45.958,4.2034273
46,4.191796
46.042,4.144818
46.083,4.1497422
46.125,4.1283757
46.167,4.1143955
46.208,4.1203385
46.25,4.070106
46.292,4.070106
46.333,4.1118485
46.375,4.070106
46.417,4.0588143
46.458,4.070106
46.5,4.070106
46.542,4.070106
46.583,4.0538618
46.625,3.948416
46.667,3.948416
46.708,3.948416
46.75,3.9483877
46.792,3.9483877
46.833,3.9483877
46.875,3.9483877
46.917,3.9483877
46.958,3.948416
47,3.948416
47.042,3.948416
47.083,3.948416
47.125,3.948416
47.167,3.948416
47.208,3.948416
47.25,3.948416
47.292,3.948416
47.333,3.948416
47.375,3.948416
47.417,3.948416
47.458,3.948416
47.5,3.948416
47.542,3.948416
47.583,3.9483877
47.625,3.9483877
47.667,3.948416
47.708,3.948416
47.75,3.948416
47.792,3.948416
47.833,3.9374356
47.875,3.9593681
47.917,3.948416
47.958,3.948416
48,3.9374356
48.042,3.9593681
48.083,3.948416
48.125,3.948416
48.167,3.9374356
48.208,3.948416
48.25,3.948416
48.292,3.948416
48.333,3.948416
48.375,3.9593681
48.417,3.9374356
48.458,3.948416
48.5,3.948416
48.542,3.9593681
48.583,3.9374356
48.625,3.948416
48.667,3.948416
48.708,3.9483877
48.75,3.948416
48.792,3.948416
48.833,3.948416
48.875,3.9483877
48.917,3.948416
48.958,3.948416
49,3.948416
49.042,3.948416
49.083,3.948416
49.125,3.948416
49.167,3.948416
49.208,3.948416
49.25,3.948416
49.292,3.948416
49.333,3.948416
49.375,3.948416
49.417,3.948416
49.458,3.948416
49.5,3.948416
49.542,3.948416
49.583,3.948416
49.625,3.9483877
49.667,3.9483877
49.708,3.9483877
49.75,3.9374356
49.792,3.9593398
49.833,3.9483877
49.875,3.9483877
49.917,3.9374356
49.958,3.9593681
50,3.948416
50.042,3.9483877
50.083,3.9374356
50.125,3.948416
50.167,3.948416
50.208,3.9593681
50.25,3.9374356
50.292,3.948416
50.333,3.948416
50.375,3.948416
50.417,3.948416
50.458,3.948416
50.5,3.948416
50.542,3.9483877
50.583,3.948416
50.625,3.9483877
50.667,3.9483877
50.708,3.948416
50.75,3.9483877
50.792,3.9483877
50.833,3.9483877
50.875,3.9483877
50.917,3.9483877
50.958,3.9483877
51,3.9483877
51.042,3.9483877
51.083,3.948416
51.125,3.9483877
51.167,3.9483877
51.208,3.9483877
51.25,3.9483877
51.292,3.9483877
51.333,3.9483877
51.375,3.9483877
51.417,3.9483877
51.458,3.9483877
51.5,3.948416
51.542,3.948416
51.583,3.948416
51.625,3.9483877
51.667,3.9483877
51.708,3.9483877
51.75,3.9374356
51.792,3.9593398
51.833,3.9483877
51.875,3.9483877
51.917,3.9374356
51.958,3.9483877
52,3.9593681
52.042,3.9483877
52.083,3.9483877
52.125,3.9374356
52.167,3.9483877
52.208,3.9593398
52.25,3.9374356
52.292,3.9483877
52.333,3.9483877
52.375,3.9483877
52.417,3.9483877
52.458,3.9483877
52.5,3.948416
52.542,3.9483877
52.583,3.9483877
52.625,3.9190123
52.667,3.9483877
52.708,3.948416
52.75,3.9332189
52.792,3.9341811
52.833,3.9483877
52.875,3.9483877
52.917,3.9483877
52.958,3.9483877
53,3.948416
53.042,3.948416
53.083,3.948416
53.125,3.948416
53.167,3.9483877
53.208,3.948416
53.25,3.9483877
53.292,3.948416
53.333,3.9483877
53.375,3.948416
53.417,3.9483877
53.458,3.948416
53.5,3.9483877
53.542,3.9483877
53.583,3.948416
53.625,3.948416
53.667,3.9483877
53.708,3.9186727
53.75,3.8476397
53.792,3.9593398
53.833,3.9483877
53.875,3.9483877
53.917,3.9374356
53.958,3.9593681
54,3.9483877
54.042,3.9374073
54.083,3.9483877
54.125,3.948416
54.167,3.9593681
54.208,3.9374356
54.25,3.9593681
54.292,3.9374356
54.333,3.9483877
54.375,3.9483877
54.417,3.9483877
54.458,3.9483877
54.5,3.9483877
54.542,3.9483877
54.583,3.9483877
54.625,3.9483877
54.667,3.9483877
54.708,3.9483877
54.75,3.948416
54.792,3.9483877
54.833,3.9483877
54.875,3.9483877
54.917,3.9483877
54.958,3.9483877
55,3.9483877
55.042,3.9483877
55.083,3.9483877
55.125,3.9483877
55.167,3.948416
55.208,3.9483877
55.25,3.948416
55.292,3.9483877
55.333,3.948416
55.375,3.9483877
55.417,3.9483877
55.458,3.9483877
55.5,3.9483877
55.542,3.948416
55.583,3.9483877
55.625,3.948416
55.667,3.9483877
55.708,3.9483877
55.75,3.9483877
55.792,3.9374356
55.833,3.9593681
55.875,3.9483877
55.917,3.948416
55.958,3.9374356
56,3.9593398
56.042,3.9483877
56.083,3.9374356
56.125,3.9483877
56.167,3.9593398
56.208,3.9483877
56.25,3.9483877
56.292,3.9483877
56.333,3.9374356
56.375,3.948416
56.417,3.9593398
56.458,3.9374356
56.5,3.948416
56.542,4.0251656
56.583,4.0043085
56.625,3.9374356
56.667,3.9483877
56.708,3.9947148
56.75,3.9625943
56.792,3.9483877
56.833,3.9483877
56.875,3.9483877
56.917,3.9483877
56.958,3.9483877
57,3.9483877
57.042,3.948416
57.083,3.9483877
57.125,3.9483877
57.167,3.9483877
57.208,3.9483877
57.25,3.9483877
57.292,3.9483877
57.333,3.9483877
57.375,3.9483877
57.417,3.9483877
57.458,3.9483877
57.5,3.9483877
57.542,3.9483877
57.583,3.9483877
57.625,3.9483877
57.667,4.056239
57.708,4.0538901
57.75,4.0552202
57.792,4.070106
57.833,4.0588143
57.875,4.081426
57.917,4.070106
57.958,4.070106
58,4.0588143
58.042,4.1280644
58.083,4.191796
58.125,4.191796
58.167,4.1801647
58.208,4.0843126
58.25,4.081426
58.292,4.0125155
58.333,3.9483877
58.375,3.9483877
58.417,3.9593398
58.458,3.9374356
58.5,3.9483877
58.542,3.9483877
58.583,3.9593681
58.625,3.9374356
58.667,3.9483877
58.708,3.9483877
58.75,3.9483877
58.792,3.9483877
58.833,3.9483877
58.875,3.9483877
58.917,3.9483877
58.958,3.9483877
59,3.9483877
59.042,3.9483877
59.083,3.9483877
59.125,3.9483877
59.167,3.9483877
59.208,3.9483877
59.25,3.9483877
59.292,3.9483877
59.333,3.948416
59.375,3.948416
59.417,3.9483877
59.458,3.9483877
59.5,3.9483877
59.542,3.9483877
59.583,3.9483877
59.625,3.9483877
59.667,3.9483877
59.708,3.9483877
59.75,3.9483877
59.792,3.9483877
59.833,3.9374356
59.875,3.9593398
59.917,3.9483877
59.958,3.9483877
60,3.9374356
60.042,3.9483877
60.083,3.9593398
60.125,3.9483877
60.167,3.9374356
60.208,3.9483877
60.25,3.9483877
60.292,3.9593681
60.333,3.948416
60.375,3.9374356
60.417,3.9483877
60.458,3.9593681
60.5,3.9374356
60.542,3.9483877
60.583,3.9186727
60.625,3.9483877
60.667,3.9483877
60.708,3.9483877
60.75,3.9483877
60.792,3.9483877
60.833,3.9483877
60.875,3.9483877
60.917,3.9483877
60.958,3.9483877
61,3.9483877
61.042,3.9483877
