$Trinity Lake withdrawals year 2019 updated YC 08/07/2023,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
7.667,6.2541868,0.0283
7.708,49.5068031,0.0283
7.75,51.3629435,0.0283
7.792,51.6895821,0.0283
7.833,50.7849726,0.0283
7.875,49.077577,0.0283
7.917,3.864082,0.0283
7.958,0.0283,0.0283
8,0.0283,0.0283
8.042,0.0283,0.0283
8.083,0.0283,0.0283
8.125,0.0283,0.0283
8.167,0.0283,0.0283
8.208,0.0283,0.0283
8.25,0.0283,0.0283
8.292,0.0283,0.0283
8.333,0.0283,0.0283
8.375,2.2991203,0.0283
8.417,16.3446933,0.0283
8.458,16.4959851,0.0283
8.5,16.4157546,0.0283
8.542,16.4512145,0.0283
8.583,16.7028298,0.0283
8.625,26.6219515,0.0283
8.667,27.0609128,0.0283
8.708,27.8571333,0.0283
8.75,50.0349943,0.0283
8.792,41.8249379,0.0283
8.833,33.3992921,0.0283
8.875,32.5764696,0.0283
8.917,2.6112976,0.0283
8.958,0.0283,0.0283
9,0.0283,0.0283
9.042,0.0283,0.0283
9.083,0.0283,0.0283
9.125,0.0283,0.0283
9.167,0.0283,0.0283
9.208,0.0283,0.0283
9.25,0.0283,0.0283
9.292,0.0283,0.0283
9.333,0.0283,0.0283
9.375,0.0283,0.0283
9.417,0.0283,0.0283
9.458,0.0283,0.0283
9.5,0.0283,0.0283
9.542,0.0283,0.0283
9.583,0.0283,0.0283
9.625,0.0283,0.0283
9.667,0.0283,0.0283
9.708,0.0283,0.0283
9.75,5.7565596,0.0283
9.792,49.2116907,0.0283
9.833,51.1019892,0.0283
9.875,44.461281,0.0283
9.917,3.240633,0.0283
9.958,0.0283,0.0283
10,0.0283,0.0283
10.042,0.0283,0.0283
10.083,0.0283,0.0283
10.125,0.0283,0.0283
10.167,0.0283,0.0283
10.208,0.0283,0.0283
10.25,0.0283,0.0283
10.292,0.0283,0.0283
10.333,0.0283,0.0283
10.375,0.0283,0.0283
10.417,0.0283,0.0283
10.458,0.0283,0.0283
10.5,0.0283,0.0283
10.542,0.0283,0.0283
10.583,0.0283,0.0283
10.625,0.0283,0.0283
10.667,0.0283,0.0283
10.708,3.542594,0.0283
10.75,44.1885539,0.0283
10.792,45.6666629,0.0283
10.833,44.3509959,0.0283
10.875,16.6516068,0.0283
10.917,2.1766096,0.0283
10.958,0.0283,0.0283
11,0.0283,0.0283
11.042,0.0283,0.0283
11.083,0.0283,0.0283
11.125,0.0283,0.0283
11.167,0.0283,0.0283
11.208,0.0283,0.0283
11.25,0.0283,0.0283
11.292,0.0283,0.0283
11.333,0.0283,0.0283
11.375,0.0283,0.0283
11.417,0.0283,0.0283
11.458,0.0283,0.0283
11.5,0.0283,0.0283
11.542,0.0283,0.0283
11.583,0.0283,0.0283
11.625,0.0283,0.0283
11.667,0.0283,0.0283
11.708,3.2794323,0.0283
11.75,49.0849633,0.0283
11.792,50.7660116,0.0283
11.833,44.0878059,0.0283
11.875,30.6464662,0.0283
11.917,29.0515914,0.0283
11.958,2.4458841,0.0283
12,0.0283,0.0283
12.042,0.0283,0.0283
12.083,0.0283,0.0283
12.125,0.0283,0.0283
12.167,0.0283,0.0283
12.208,0.0283,0.0283
12.25,0.0283,0.0283
12.292,0.0283,0.0283
12.333,0.0283,0.0283
12.375,0.0283,0.0283
12.417,0.0283,0.0283
12.458,0.0283,0.0283
12.5,0.0283,0.0283
12.542,0.0283,0.0283
12.583,0.0283,0.0283
12.625,3.3639361,0.0283
12.667,49.0708982,0.0283
12.708,51.2606956,0.0283
12.75,51.208284,0.0283
12.792,51.2791755,0.0283
12.833,50.2713842,0.0283
12.875,34.3200609,0.0283
12.917,48.2121064,0.0283
12.958,3.1544878,0.0283
13,0.0283,0.0283
13.042,0.0283,0.0283
13.083,0.0283,0.0283
13.125,0.0283,0.0283
13.167,0.0283,0.0283
13.208,0.0283,0.0283
13.25,0.0283,0.0283
13.292,0.0283,0.0283
13.333,0.0283,0.0283
13.375,0.0283,0.0283
13.417,0.0283,0.0283
13.458,0.0283,0.0283
13.5,0.0283,0.0283
13.542,0.0283,0.0283
13.583,0.0283,0.0283
13.625,0.0283,0.0283
13.667,0.0283,0.0283
13.708,3.5010213,0.0283
13.75,49.0849067,0.0283
13.792,51.1609381,0.0283
13.833,51.2003883,0.0283
13.875,49.2625175,0.0283
13.917,17.5677061,0.0283
13.958,3.3722846,0.0283
14,0.0283,0.0283
14.042,0.0283,0.0283
14.083,0.0283,0.0283
14.125,0.0283,0.0283
14.167,0.0283,0.0283
14.208,0.0283,0.0283
14.25,0.0283,0.0283
14.292,0.0283,0.0283
14.333,0.0283,0.0283
14.375,0.0283,0.0283
14.417,0.0283,0.0283
14.458,0.0283,0.0283
14.5,0.0283,0.0283
14.542,0.0283,0.0283
14.583,0.0283,0.0283
14.625,0.0283,0.0283
14.667,3.2939785,0.0283
14.708,48.9625941,0.0283
14.75,51.1193937,0.0283
14.792,51.164419,0.0283
14.833,51.230924,0.0283
14.875,49.0950947,0.0283
14.917,3.1098304,0.0283
14.958,0.0283,0.0283
15,0.0283,0.0283
15.042,0.0283,0.0283
15.083,0.0283,0.0283
15.125,0.0283,0.0283
15.167,0.0283,0.0283
15.208,0.0283,0.0283
15.25,0.0283,0.0283
15.292,0.0283,0.0283
15.333,0.0283,0.0283
15.375,0.0283,0.0283
15.417,0.0283,0.0283
15.458,0.0283,0.0283
15.5,0.0283,0.0283
15.542,0.0283,0.0283
15.583,0.0283,0.0283
15.625,0.0283,0.0283
15.667,0.0283,0.0283
15.708,5.0505312,0.0283
15.75,48.7927941,0.0283
15.792,51.300825,0.0283
15.833,48.7443728,0.0283
15.875,5.6091449,0.0283
15.917,0.0283,0.0283
15.958,0.0283,0.0283
16,0.0283,0.0283
16.042,0.0283,0.0283
16.083,0.0283,0.0283
16.125,0.0283,0.0283
16.167,0.0283,0.0283
16.208,0.0283,0.0283
16.25,0.0283,0.0283
16.292,0.0283,0.0283
16.333,0.0283,0.0283
16.375,0.0283,0.0283
16.417,0.0283,0.0283
16.458,0.0283,0.0283
16.5,0.0283,0.0283
16.542,0.0283,0.0283
16.583,0.0283,0.0283
16.625,0.0283,0.0283
16.667,0.0283,0.0283
16.708,6.2310657,0.0283
16.75,48.970886,0.0283
16.792,51.0698404,0.0283
16.833,51.1367699,0.0283
16.875,49.3037223,0.0283
16.917,17.589299,0.0283
16.958,2.4150371,0.0283
17,0.0283,0.0283
17.042,0.0283,0.0283
17.083,0.0283,0.0283
17.125,0.0283,0.0283
17.167,0.0283,0.0283
17.208,0.0283,0.0283
17.25,0.0283,0.0283
17.292,0.0283,0.0283
17.333,0.0283,0.0283
17.375,0.0283,0.0283
17.417,0.0283,0.0283
17.458,0.0283,0.0283
17.5,0.0283,0.0283
17.542,0.0283,0.0283
17.583,4.1033019,0.0283
17.625,29.1420382,0.0283
17.667,29.5237486,0.0283
17.708,16.8130866,0.0283
17.75,16.4392719,0.0283
17.792,17.6934147,0.0283
17.833,46.9930273,0.0283
17.875,3.1296404,0.0283
17.917,0.0283,0.0283
17.958,0.0283,0.0283
18,0.0283,0.0283
18.042,0.0283,0.0283
18.083,0.0283,0.0283
18.125,0.0283,0.0283
18.167,0.0283,0.0283
18.208,0.0283,0.0283
18.25,4.1692975,0.0283
18.292,16.27816,0.0283
18.333,16.3841435,0.0283
18.375,16.3021584,0.0283
18.417,16.2491808,0.0283
18.458,16.3003189,0.0283
18.5,16.3599753,0.0283
18.542,16.4335836,0.0283
18.583,16.4523748,0.0283
18.625,4.9509152,0.0283
18.667,0.0283,0.0283
18.708,0.0283,0.0283
18.75,0.0283,0.0283
18.792,0.0283,0.0283
18.833,0.0283,0.0283
18.875,0.0283,0.0283
18.917,0.0283,0.0283
18.958,0.0283,0.0283
19,0.0283,0.0283
19.042,0.0283,0.0283
19.083,0.0283,0.0283
19.125,0.0283,0.0283
19.167,0.0283,0.0283
19.208,0.0283,0.0283
19.25,0.0283,0.0283
19.292,0.0283,0.0283
19.333,0.0283,0.0283
19.375,0.0283,0.0283
19.417,0.0283,0.0283
19.458,2.7677117,0.0283
19.5,16.9359086,0.0283
19.542,15.7580343,0.0283
19.583,15.6084688,0.0283
19.625,21.4547394,0.0283
19.667,5.6688579,0.0283
19.708,6.3925172,0.0283
19.75,26.3765905,0.0283
19.792,26.8621902,0.0283
19.833,29.8929221,0.0283
19.875,29.391531,0.0283
19.917,16.8340286,0.0283
19.958,16.3527871,0.0283
20,16.0822674,0.0283
20.042,2.0147902,0.0283
20.083,0.0283,0.0283
20.125,0.0283,0.0283
20.167,0.0283,0.0283
20.208,0.0283,0.0283
20.25,0.0283,0.0283
20.292,0.0283,0.0283
20.333,0.0283,0.0283
20.375,0.0283,0.0283
20.417,0.0283,0.0283
20.458,0.0283,0.0283
20.5,0.0283,0.0283
20.542,2.312676,0.0283
20.583,10.7300299,0.0283
20.625,10.4055138,0.0283
20.667,29.0025758,0.0283
20.708,29.4748745,0.0283
20.75,16.8283686,0.0283
20.792,16.1374524,0.0283
20.833,16.2878386,0.0283
20.875,16.2392475,0.0283
20.917,16.226371,0.0283
20.958,16.324855,0.0283
21,16.0467226,0.0283
21.042,1.9311071,0.0283
21.083,0.0283,0.0283
21.125,0.0283,0.0283
21.167,0.0283,0.0283
21.208,0.0283,0.0283
21.25,0.0283,0.0283
21.292,0.0283,0.0283
21.333,0.0283,0.0283
21.375,0.0283,0.0283
21.417,0.0283,0.0283
21.458,0.0283,0.0283
21.5,0.0283,0.0283
21.542,0.0283,0.0283
21.583,0.0283,0.0283
21.625,0.0283,0.0283
21.667,0.0283,0.0283
21.708,2.4978995,0.0283
21.75,23.4986503,0.0283
21.792,23.5946156,0.0283
21.833,23.7817352,0.0283
21.875,29.0384602,0.0283
21.917,16.7058013,0.0283
21.958,16.7802303,0.0283
22,16.923966,0.0283
22.042,29.2608699,0.0283
22.083,29.8249455,0.0283
22.125,29.8380201,0.0283
22.167,29.866405,0.0283
22.208,28.8756786,0.0283
22.25,16.6543519,0.0283
22.292,2.1698742,0.0283
22.333,0.0283,0.0283
22.375,0.0283,0.0283
22.417,0.0283,0.0283
22.458,0.0283,0.0283
22.5,0.0283,0.0283
22.542,0.0283,0.0283
22.583,0.0283,0.0283
22.625,0.0283,0.0283
22.667,0.0283,0.0283
22.708,0.0283,0.0283
22.75,0.0283,0.0283
22.792,0.0283,0.0283
22.833,0.0283,0.0283
22.875,0.0283,0.0283
22.917,0.0283,0.0283
22.958,0.0283,0.0283
23,0.0283,0.0283
23.042,0.0283,0.0283
23.083,0.0283,0.0283
23.125,0.0283,0.0283
23.167,0.0283,0.0283
23.208,0.0283,0.0283
23.25,0.0283,0.0283
23.292,0.0283,0.0283
23.333,0.0283,0.0283
23.375,0.0283,0.0283
23.417,0.0283,0.0283
23.458,0.0283,0.0283
23.5,0.0283,0.0283
23.542,0.0283,0.0283
23.583,0.0283,0.0283
23.625,3.0222419,0.0283
23.667,2.1586957,0.0283
23.708,7.0954609,0.0283
23.75,48.0174024,0.0283
23.792,50.4063186,0.0283
23.833,50.2178406,0.0283
23.875,48.184429,0.0283
23.917,3.5906191,0.0283
23.958,0.0283,0.0283
24,0.0283,0.0283
24.042,0.0283,0.0283
24.083,0.0283,0.0283
24.125,0.0283,0.0283
24.167,0.0283,0.0283
24.208,0.0283,0.0283
24.25,0.0283,0.0283
24.292,0.0283,0.0283
24.333,0.0283,0.0283
24.375,0.0283,0.0283
24.417,0.0283,0.0283
24.458,0.0283,0.0283
24.5,0.0283,0.0283
24.542,0.0283,0.0283
24.583,0.0283,0.0283
24.625,0.0283,0.0283
24.667,0.0283,0.0283
24.708,4.0039689,0.0283
24.75,48.1902871,0.0283
24.792,50.2346508,0.0283
24.833,50.2506686,0.0283
24.875,48.1804387,0.0283
24.917,3.042533,0.0283
24.958,0.0283,0.0283
25,0.0283,0.0283
25.042,0.0283,0.0283
25.083,0.0283,0.0283
25.125,0.0283,0.0283
25.167,0.0283,0.0283
25.208,0.0283,0.0283
25.25,0.0283,0.0283
25.292,0.0283,0.0283
25.333,0.0283,0.0283
25.375,0.0283,0.0283
25.417,0.0283,0.0283
25.458,0.0283,0.0283
25.5,0.0283,0.0283
25.542,0.0283,0.0283
25.583,0.0283,0.0283
25.625,0.0283,0.0283
25.667,0.0283,0.0283
25.708,3.2500003,0.0283
25.75,48.1844573,0.0283
25.792,49.9638481,0.0283
25.833,48.0721629,0.0283
25.875,3.0860584,0.0283
25.917,0.0283,0.0283
25.958,0.0283,0.0283
26,0.0283,0.0283
26.042,0.0283,0.0283
26.083,0.0283,0.0283
26.125,0.0283,0.0283
26.167,0.0283,0.0283
26.208,0.0283,0.0283
26.25,0.0283,0.0283
26.292,0.0283,0.0283
26.333,0.0283,0.0283
26.375,0.0283,0.0283
26.417,0.0283,0.0283
26.458,0.0283,0.0283
26.5,0.0283,0.0283
26.542,0.0283,0.0283
26.583,0.0283,0.0283
26.625,0.0283,0.0283
26.667,0.0283,0.0283
26.708,3.5492162,0.0283
26.75,43.1408596,0.0283
26.792,44.7388474,0.0283
26.833,44.7498278,0.0283
26.875,43.1674333,0.0283
26.917,2.9432283,0.0283
26.958,0.0283,0.0283
27,0.0283,0.0283
27.042,0.0283,0.0283
27.083,0.0283,0.0283
27.125,0.0283,0.0283
27.167,0.0283,0.0283
27.208,0.0283,0.0283
27.25,2.3281561,0.0283
27.292,16.3175536,0.0283
27.333,23.2081791,0.0283
27.375,23.4719351,0.0283
27.417,23.5872576,0.0283
27.458,26.5473527,0.0283
27.5,26.5753414,0.0283
27.542,26.4682825,0.0283
27.583,23.5737019,0.0283
27.625,23.172606,0.0283
27.667,16.4466582,0.0283
27.708,15.978463,0.0283
27.75,2.0874646,0.0283
27.792,0.0283,0.0283
27.833,0.0283,0.0283
27.875,0.0283,0.0283
27.917,0.0283,0.0283
27.958,0.0283,0.0283
28,0.0283,0.0283
28.042,0.0283,0.0283
28.083,0.0283,0.0283
28.125,0.0283,0.0283
28.167,0.0283,0.0283
28.208,0.0283,0.0283
28.25,0.0283,0.0283
28.292,5.4799554,0.0283
28.333,17.1706288,0.0283
28.375,43.3849471,0.0283
28.417,44.7647419,0.0283
28.458,44.7303574,0.0283
28.5,43.0370835,0.0283
28.542,4.2316707,0.0283
28.583,0.0283,0.0283
28.625,0.0283,0.0283
28.667,0.0283,0.0283
28.708,0.0283,0.0283
28.75,0.0283,0.0283
28.792,0.0283,0.0283
28.833,0.0283,0.0283
28.875,0.0283,0.0283
28.917,0.0283,0.0283
28.958,0.0283,0.0283
29,0.0283,0.0283
29.042,0.0283,0.0283
29.083,0.0283,0.0283
29.125,0.0283,0.0283
29.167,0.0283,0.0283
29.208,0.0283,0.0283
29.25,0.0283,0.0283
29.292,0.0283,0.0283
29.333,0.0283,0.0283
29.375,0.0283,0.0283
29.417,0.0283,0.0283
29.458,0.0283,0.0283
29.5,0.0283,0.0283
29.542,0.0283,0.0283
29.583,0.0283,0.0283
29.625,0.0283,0.0283
29.667,0.0283,0.0283
29.708,3.2467458,0.0283
29.75,47.8661106,0.0283
29.792,49.8929849,0.0283
29.833,50.0255421,0.0283
29.875,48.1126319,0.0283
29.917,17.4474594,0.0283
29.958,16.1062658,0.0283
30,2.0099226,0.0283
30.042,0.0283,0.0283
30.083,0.0283,0.0283
30.125,0.0283,0.0283
30.167,0.0283,0.0283
30.208,0.0283,0.0283
30.25,0.0283,0.0283
30.292,0.0283,0.0283
30.333,0.0283,0.0283
30.375,0.0283,0.0283
30.417,0.0283,0.0283
30.458,0.0283,0.0283
30.5,0.0283,0.0283
30.542,0.0283,0.0283
30.583,0.0283,0.0283
30.625,0.0283,0.0283
30.667,0.0283,0.0283
30.708,2.81585,0.0283
30.75,31.8581024,0.0283
30.792,44.3379213,0.0283
30.833,49.7448061,0.0283
30.875,47.9069192,0.0283
30.917,3.2470854,0.0283
30.958,0.0283,0.0283
31,0.0283,0.0283
31.042,0.0283,0.0283
31.083,0.0283,0.0283
31.125,0.0283,0.0283
31.167,0.0283,0.0283
31.208,0.0283,0.0283
31.25,0.0283,0.0283
31.292,0.0283,0.0283
31.333,0.0283,0.0283
31.375,0.0283,0.0283
31.417,0.0283,0.0283
31.458,0.0283,0.0283
31.5,0.0283,0.0283
31.542,0.0283,0.0283
31.583,0.0283,0.0283
31.625,0.0283,0.0283
31.667,0.0283,0.0283
31.708,3.1737601,0.0283
31.75,42.8934893,0.0283
31.792,44.7529691,0.0283
31.833,44.5029952,0.0283
31.875,43.3477609,0.0283
31.917,17.3345424,0.0283
31.958,0.7770048,0.0283
32,0.0283,0.0283
32.042,0.0283,0.0283
32.083,0.0283,0.0283
32.125,0.0283,0.0283
32.167,0.0283,0.0283
32.208,0.0283,0.0283
32.25,0.0283,0.0283
32.292,0.0283,0.0283
32.333,0.0283,0.0283
32.375,0.0283,0.0283
32.417,0.0283,0.0283
32.458,0.0283,0.0283
32.5,3.8170757,0.0283
32.542,47.8359428,0.0283
32.583,49.7747475,0.0283
32.625,49.1073486,0.0283
32.667,49.9241715,0.0283
32.708,49.8916548,0.0283
32.75,49.8148203,0.0283
32.792,49.9429061,0.0283
32.833,47.837188,0.0283
32.875,3.004894,0.0283
32.917,0.0283,0.0283
32.958,0.0283,0.0283
33,0.0283,0.0283
33.042,0.0283,0.0283
33.083,0.0283,0.0283
33.125,0.0283,0.0283
33.167,0.0283,0.0283
33.208,0.0283,0.0283
33.25,0.0283,0.0283
33.292,0.0283,0.0283
33.333,0.0283,0.0283
33.375,0.0283,0.0283
33.417,0.0283,0.0283
33.458,0.0283,0.0283
33.5,0.0283,0.0283
33.542,2.4870606,0.0283
33.583,23.875861,0.0283
33.625,48.2784699,0.0283
33.667,49.9117195,0.0283
33.708,48.4952196,0.0283
33.75,49.5461967,0.0283
33.792,49.8704015,0.0283
33.833,49.8511858,0.0283
33.875,47.8843924,0.0283
33.917,3.1607987,0.0283
33.958,0.0283,0.0283
34,0.0283,0.0283
34.042,0.0283,0.0283
34.083,0.0283,0.0283
34.125,0.0283,0.0283
34.167,0.0283,0.0283
34.208,0.0283,0.0283
34.25,0.0283,0.0283
34.292,0.0283,0.0283
34.333,0.0283,0.0283
34.375,0.0283,0.0283
34.417,0.0283,0.0283
34.458,0.0283,0.0283
34.5,0.0283,0.0283
34.542,0.0283,0.0283
34.583,0.0283,0.0283
34.625,0.0283,0.0283
34.667,4.9889221,0.0283
34.708,47.740968,0.0283
34.75,49.7206379,0.0283
34.792,49.7496454,0.0283
34.833,49.7094311,0.0283
34.875,49.7077048,0.0283
34.917,47.5197752,0.0283
34.958,3.8108214,0.0283
35,0.0283,0.0283
35.042,0.0283,0.0283
35.083,0.0283,0.0283
35.125,0.0283,0.0283
35.167,0.0283,0.0283
35.208,0.0283,0.0283
35.25,0.0283,0.0283
35.292,0.0283,0.0283
35.333,0.0283,0.0283
35.375,0.0283,0.0283
35.417,0.0283,0.0283
35.458,0.0283,0.0283
35.5,0.0283,0.0283
35.542,0.0283,0.0283
35.583,0.0283,0.0283
35.625,0.0283,0.0283
35.667,0.0283,0.0283
35.708,5.9920439,0.0283
35.75,47.7348552,0.0283
35.792,49.6560573,0.0283
35.833,49.7135629,0.0283
35.875,49.6539348,0.0283
35.917,49.638766,0.0283
35.958,47.5305858,0.0283
36,3.0706066,0.0283
36.042,0.0283,0.0283
36.083,0.0283,0.0283
36.125,0.0283,0.0283
36.167,0.0283,0.0283
36.208,0.0283,0.0283
36.25,0.0283,0.0283
36.292,0.0283,0.0283
36.333,0.0283,0.0283
36.375,0.0283,0.0283
36.417,0.0283,0.0283
36.458,0.0283,0.0283
36.5,0.0283,0.0283
36.542,0.0283,0.0283
36.583,0.0283,0.0283
36.625,0.0283,0.0283
36.667,0.0283,0.0283
36.708,6.2323392,0.0283
36.75,35.6433406,0.0283
36.792,37.3962143,0.0283
36.833,48.3979525,0.0283
36.875,42.1023062,0.0283
36.917,32.8318771,0.0283
36.958,3.0038752,0.0283
37,0.0283,0.0283
37.042,0.0283,0.0283
37.083,0.0283,0.0283
37.125,0.0283,0.0283
37.167,0.0283,0.0283
37.208,0.0283,0.0283
37.25,0.0283,0.0283
37.292,0.0283,0.0283
37.333,0.0283,0.0283
37.375,0.0283,0.0283
37.417,0.0283,0.0283
37.458,0.0283,0.0283
37.5,0.0283,0.0283
37.542,0.0283,0.0283
37.583,0.0283,0.0283
37.625,0.0283,0.0283
37.667,0.0283,0.0283
37.708,3.2640654,0.0283
37.75,47.4077355,0.0283
37.792,49.2246238,0.0283
37.833,45.2639822,0.0283
37.875,3.2486419,0.0283
37.917,0.0283,0.0283
37.958,0.0283,0.0283
38,0.0283,0.0283
38.042,0.0283,0.0283
38.083,0.0283,0.0283
38.125,0.0283,0.0283
38.167,0.0283,0.0283
38.208,0.0283,0.0283
38.25,0.0283,0.0283
38.292,0.0283,0.0283
38.333,2.3654272,0.0283
38.375,17.4135843,0.0283
38.417,51.102159,0.0283
38.458,17.4680901,0.0283
38.5,15.9481254,0.0283
38.542,16.0675231,0.0283
38.583,16.9451344,0.0283
38.625,31.6055532,0.0283
38.667,32.3516827,0.0283
38.708,31.469034,0.0283
38.75,2.9974794,0.0283
38.792,0.0283,0.0283
38.833,0.0283,0.0283
38.875,0.0283,0.0283
38.917,0.0283,0.0283
38.958,0.0283,0.0283
39,0.0283,0.0283
39.042,0.0283,0.0283
39.083,0.0283,0.0283
39.125,0.0283,0.0283
39.167,0.0283,0.0283
39.208,0.0283,0.0283
39.25,0.0283,0.0283
39.292,0.0283,0.0283
39.333,3.2515002,0.0283
39.375,47.507776,0.0283
39.417,47.5449905,0.0283
39.458,3.085832,0.0283
39.5,0.0283,0.0283
39.542,0.0283,0.0283
39.583,0.0283,0.0283
39.625,0.0283,0.0283
39.667,0.0283,0.0283
39.708,0.0283,0.0283
39.75,3.5435845,0.0283
39.792,47.5656778,0.0283
39.833,47.5692436,0.0283
39.875,3.0302508,0.0283
39.917,0.0283,0.0283
39.958,0.0283,0.0283
40,0.0283,0.0283
40.042,0.0283,0.0283
40.083,0.0283,0.0283
40.125,0.0283,0.0283
40.167,0.0283,0.0283
40.208,0.0283,0.0283
40.25,0.0283,0.0283
40.292,0.0283,0.0283
40.333,0.0283,0.0283
40.375,0.0283,0.0283
40.417,0.0283,0.0283
40.458,0.0283,0.0283
40.5,0.0283,0.0283
40.542,0.0283,0.0283
40.583,0.0283,0.0283
40.625,0.0283,0.0283
40.667,0.0283,0.0283
40.708,0.0283,0.0283
40.75,5.9801296,0.0283
40.792,47.4590151,0.0283
40.833,48.5041341,0.0283
40.875,29.5137304,0.0283
40.917,2.8050394,0.0283
40.958,0.0283,0.0283
41,0.0283,0.0283
41.042,0.0283,0.0283
41.083,0.0283,0.0283
41.125,0.0283,0.0283
41.167,0.0283,0.0283
41.208,0.0283,0.0283
41.25,0.0283,0.0283
41.292,0.0283,0.0283
41.333,0.0283,0.0283
41.375,0.0283,0.0283
41.417,0.0283,0.0283
41.458,0.0283,0.0283
41.5,0.0283,0.0283
41.542,0.0283,0.0283
41.583,0.0283,0.0283
