Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
 71,  1,        8370.87,   537557.07789,  4496937.39501, 10,   310.820
 72,  1,        8870.87,   537998.14696,  4496702.87190, 10,   309.820
 73,  1,        9270.87,   538360.67361,  4496533.83217, 10,   306.820
 74,  1,        9670.87,   538723.20025,  4496364.79243, 10,   304.820
 75,  1,       10045.87,   539068.90707,  4496220.41157, 10,   304.820
 76,  1,       10345.87,   539358.17906,  4496167.09624, 10,   314.820
 77,  1,       10558.37,   539565.22996,  4496203.57058, 10,   325.820
 78,  1,       10745.87,   539747.07164,  4496242.21707, 10,   326.820
 79,  1,       10935.87,   539931.26253,  4496281.71868, 10,   326.820
100,  2,       13310.80,   537481.05376,  4498105.21347, 10,   325.820
 99,  2,       13090.87,   537603.56854,  4498287.21217, 10,   328.820
 98,  2,       12885.87,   537732.68564,  4498446.40603, 10,   331.820
 97,  2,       12690.87,   537852.80015,  4498599.87016, 10,   333.820
 96,  2,       12505.87,   537950.89139,  4498756.19277, 10,   335.820
 95,  2,       12315.87,   537975.78430,  4498934.13932, 10,   337.820
 94,  2,       12140.87,   537910.21776,  4499090.07649, 10,   341.820
 93,  2,       12005.87,   537824.25181,  4499194.16057, 10,   342.820
 92,  2,       11885.87,   537741.90249,  4499280.93570, 10,   344.820
 91,  2,       11780.87,   537670.86359,  4499357.48897, 10,   345.820
 90,  2,       11695.87,   537631.39278,  4499431.71672, 10,   346.820
 89,  2,       11620.87,   537613.50145,  4499504.19740, 10,   347.820
 88,  2,       11550.87,   537596.66047,  4499571.74599, 10,   349.820
 87,  2,       11480.87,   537575.63094,  4499638.44253, 10,   349.820
 86,  2,       11410.87,   537559.29427,  4499706.48490, 10,   351.820
 85,  2,       11335.87,   537535.11276,  4499776.97283, 10,   352.820
 84,  2,       11255.87,   537511.26568,  4499852.61858, 10,   354.820
 83,  2,       11170.87,   537498.06066,  4499936.57354, 10,   357.820
 82,  2,       11075.87,   537478.85942,  4500029.43233, 10,   359.820
103,  3,       13470.73,   538746.27773,  4495336.40665, 10,   301.820
104,  3,       13590.73,   538724.92123,  4495219.57785, 10,   299.820
105,  3,       13745.73,   538721.08923,  4495064.77271, 10,   300.820
106,  3,       13915.73,   538730.33367,  4494895.12756, 10,   299.820
107,  3,       14090.73,   538760.17781,  4494723.36618, 10,   297.820
108,  3,       14250.73,   538819.67537,  4494576.30975, 10,   296.820
109,  3,       14390.73,   538889.67369,  4494455.06522, 10,   297.820
114,  4,       14604.73,   531623.76509,  4499690.92643, 10,   363.820
113,  4,       14542.23,   531621.25017,  4499751.38397, 10,   363.820
112,  4,       14483.23,   531648.86502,  4499799.87179, 10,   363.820
